172.26.32.10;16316;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.10;16317;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.11;10304;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.11;10305;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.11;12095;192.168.239.11;1550;1550;;N/A;Up;Up
172.26.32.12;16468;172.26.32.1;1514;1514;;N/A;Up;Up
172.26.32.12;16469;172.26.32.2;1514;1514;;N/A;Up;Up
172.26.32.13;16322;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.13;16323;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.14;10324;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.14;10325;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.16;10314;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.16;10315;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.17;10318;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.17;10319;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.18;417;172.26.32.1;1546;1546;;N/A;Up;Up
172.26.32.18;542;172.26.32.2;1546;1546;;N/A;Up;Up
172.26.32.197;433;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.197;558;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.202;15488;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.202;15604;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.200;3333;172.26.39.1;1550;1550;;N/A;Up;Up
172.26.32.200;15082;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.200;15083;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.199;3812;172.26.35.223;1550;1550;;N/A;Up;Up
172.26.32.199;9999;172.26.35.126;1550;1550;;N/A;Up;Down
172.26.32.199;10780;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.199;10781;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.199;16530;172.26.34.1;1550;1550;;N/A;Up;Up
172.26.32.199;16531;192.168.239.5;1550;1550;;N/A;Up;Up
172.26.32.201;15084;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.25;424;172.26.32.1;2000;2000;;N/A;Up;Up
172.26.32.201;15085;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.25;549;172.26.32.2;2000;2000;;N/A;Up;Up
172.26.32.20;419;172.26.32.1;1550;1550;;N/A;Up;Up
172.26.32.20;544;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.203;15474;172.26.32.2;1550;1550;;N/A;Up;Up
172.26.32.203;15606;172.26.32.1;1550;1550;;N/A;Up;Up
