172.26.32.10;1;feeds;dc;up
172.26.32.10;2;feeds;dc;up
172.26.32.11;1;feeds;dc;up
172.26.32.11;2;feeds;dc;up
172.26.32.12;1;feeds;dc;up
172.26.32.12;2;feeds;dc;up
172.26.32.13;1;feeds;dc;up
172.26.32.13;2;feeds;dc;up
172.26.32.14;1;feeds;dc;up
172.26.32.14;2;feeds;dc;up
172.26.32.16;1;feeds;dc;up
172.26.32.16;2;feeds;dc;up
172.26.32.17;1;feeds;dc;up
172.26.32.17;2;feeds;dc;up
172.26.32.18;1;feeds;dc;up
172.26.32.18;2;feeds;dc;up
172.26.32.197;1;feeds;dc;up
172.26.32.197;2;feeds;dc;up
172.26.32.202;1;feeds;dc;up
172.26.32.202;2;feeds;dc;up
172.26.32.200;1;feeds;dc;up
172.26.32.200;2;feeds;dc;up
172.26.32.199;1;feeds;dc;up
172.26.32.199;2;feeds;dc;up
172.26.32.201;1;feeds;dc;up
172.26.32.201;2;feeds;dc;up
172.26.32.25;1;feeds;dc;up
172.26.32.25;2;feeds;dc;criticalfailure
172.26.32.20;1;feeds;dc;up
172.26.32.20;2;feeds;dc;up
172.26.32.203;1;feeds;dc;up
172.26.32.203;2;feeds;dc;up
172.26.32.204;1;feeds;dc;up
172.26.32.204;2;feeds;dc;up
172.26.32.205;1;feeds;dc;up
172.26.32.205;2;feeds;dc;up
172.26.32.206;1;feeds;dc;up
172.26.32.206;2;feeds;dc;up
172.26.32.189;1;feeds;dc;up
172.26.32.189;2;feeds;dc;up
172.26.32.207;1;feeds;dc;up
172.26.32.207;2;feeds;dc;up
172.26.32.45;1;feeds;dc;up
172.26.32.45;2;feeds;dc;up
172.26.32.190;1;feeds;dc;up
172.26.32.190;2;feeds;dc;up
172.26.32.248;1;feeds;dc;up
172.26.32.248;2;feeds;dc;up
172.26.32.208;1;feeds;dc;up
172.26.32.208;2;feeds;dc;criticalfailure
172.26.32.209;1;feeds;dc;up
172.26.32.209;2;feeds;dc;up
172.26.32.21;1;feeds;dc;up
172.26.32.21;2;feeds;dc;up
172.26.32.212;1;feeds;dc;up
172.26.32.212;2;feeds;dc;up
172.26.32.214;1;feeds;dc;up
172.26.32.214;2;feeds;dc;up
172.26.32.210;1;feeds;dc;up
172.26.32.210;2;feeds;dc;up
172.26.32.215;1;feeds;dc;up
172.26.32.215;2;feeds;dc;up
172.26.32.213;1;feeds;dc;up
172.26.32.213;2;feeds;dc;up
172.26.32.219;1;feeds;dc;up
172.26.32.219;2;feeds;dc;up
172.26.32.43;1;feeds;dc;up
172.26.32.43;2;feeds;dc;up
172.26.32.42;1;feeds;dc;up
172.26.32.42;2;feeds;dc;up
172.26.32.191;1;feeds;dc;up
172.26.32.191;2;feeds;dc;up
172.26.32.22;1;feeds;dc;up
172.26.32.22;2;feeds;dc;up
172.26.32.220;1;feeds;dc;up
172.26.32.220;2;feeds;dc;up
172.26.32.222;1;feeds;dc;up
172.26.32.222;2;feeds;dc;up
172.26.32.223;1;feeds;dc;up
172.26.32.223;2;feeds;dc;up
172.26.32.247;1;feeds;dc;up
172.26.32.247;2;feeds;dc;up
172.26.32.224;1;feeds;dc;up
172.26.32.224;2;feeds;dc;up
172.26.32.225;1;feeds;dc;up
172.26.32.225;2;feeds;dc;criticalfailure
172.26.32.242;1;feeds;dc;up
172.26.32.242;2;feeds;dc;up
172.26.32.227;1;feeds;dc;up
172.26.32.227;2;feeds;dc;up
172.26.32.226;1;feeds;dc;up
172.26.32.226;2;feeds;dc;up
172.26.32.44;1;feeds;dc;up
172.26.32.44;2;feeds;dc;up
172.26.32.228;1;feeds;dc;up
172.26.32.228;2;feeds;dc;up
172.26.32.23;1;feeds;dc;up
172.26.32.23;2;feeds;dc;up
172.26.32.230;1;feeds;dc;up
172.26.32.230;2;feeds;dc;up
172.26.32.234;1;feeds;dc;up
172.26.32.234;2;feeds;dc;up
172.26.32.235;1;feeds;dc;up
172.26.32.235;2;feeds;dc;up
172.26.41.7;1;feeds;dc;up
172.26.41.7;2;feeds;dc;up
172.26.41.16;1;feeds;dc;up
172.26.41.16;2;feeds;dc;up
172.26.41.5;1;feeds;dc;up
172.26.41.5;2;feeds;dc;criticalfailure
172.26.32.237;1;feeds;dc;up
172.26.32.237;2;feeds;dc;up
172.26.32.238;1;feeds;dc;up
172.26.32.238;2;feeds;dc;up
172.26.32.24;1;feeds;dc;up
172.26.32.24;2;feeds;dc;up
172.26.32.240;1;feeds;dc;up
