172.26.32.21;1/2;;;;;3HE05051ABAD0104;NS1132F1374;1999/12/31;21:01:27
172.26.32.212;1/1;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0103;NS103160263;2018/08/09;02:46:17
172.26.32.212;1/2;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0103;NS103066017;2018/08/09;02:46:17
172.26.32.212;1/3;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0103;NS103066022;2018/08/09;02:46:17
172.26.32.1;1/1;;;;;3HE03611AAAC01;NS1138F0398;2018/08/09;04:13:50
172.26.32.212;1/4;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0108;NS133366245;2018/08/09;02:46:17
172.26.32.1;2/1;;;;;3HE03611AAAC01;NS112764445;2018/08/09;04:13:50
172.26.32.1;2/2;;;;;3HE04274AAAA01;NS1130F0247;2018/08/09;04:13:50
172.26.32.1;3/1;;;;;3HE04274AAAA01;NS1130F0134;2018/08/09;04:13:50
172.26.32.1;3/2;;;;;3HE03079AAAB01;NS113067530;2018/08/09;04:13:50
172.26.32.1;4/1;;;;;3HE04274AAAA01;NS1130F0130;2018/08/09;04:13:50
172.26.32.1;4/2;;;;;3HE03611AAAC01;NS124961042;2018/08/09;04:13:50
172.26.32.214;1/1;;;;;3HE05051ABAD0104;NS1143F2057;1999/12/31;21:01:29
172.26.32.214;1/2;;;;;3HE05051ABAD0104;NS1143F2057;1999/12/31;21:01:27
172.26.32.210;1/1;;;;;3HE05051ABAD0104;NS1140F1561;1999/12/31;21:01:29
172.26.32.210;1/2;;;;;3HE05051ABAD0104;NS1140F1561;1999/12/31;21:01:27
172.26.32.215;1/1;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS113063250;2018/08/01;00:18:20
172.26.32.215;1/2;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS112569543;2018/08/01;00:18:20
172.26.32.215;1/3;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS112569316;2018/08/01;00:18:20
172.26.32.215;1/4;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS112569781;2018/08/01;00:18:21
172.26.32.215;1/5;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS113261435;2018/08/01;00:18:21
172.26.32.213;1/1;;;;;3HE05051ABAD0104;NS1141F1573;1999/12/31;21:01:29
172.26.32.213;1/2;;;;;3HE05051ABAD0104;NS1141F1573;1999/12/31;21:01:27
172.26.32.219;1/1;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS11256A267;2018/08/09;03:05:58
172.26.32.219;1/2;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS11256A270;2018/08/09;03:05:58
172.26.32.219;1/3;a8-ethv2;a8-ethv2;up;up;3HE02776ABAB0105;NS113261722;2018/08/09;03:05:58
172.26.32.43;1/1;;;;;3HE06797AABC0101;NS1626S2136;1999/12/31;21:01:17
172.26.32.43;1/2;;;;;3HE06797AABC0101;NS1626S2136;1999/12/31;21:01:13
172.26.32.42;1/1;;;;;3HE05051ABAE0110;NS1332F1756;1999/12/31;21:01:29
172.26.32.42;1/2;;;;;3HE05051ABAE0110;NS1332F1756;1999/12/31;21:01:27
172.26.39.72;1/1;;;;;;;2017/08/25;21:39:03
172.26.32.191;1/1;;;;;3HE06797AABC0104;NS1722S4741;2017/07/13;18:05:10
172.26.32.191;1/2;;;;;3HE06797AABC0104;NS1722S4741;2017/07/13;18:05:06
172.26.32.22;1/1;;;;;3HE05051ABAD0105;NS1145F0407;1999/12/31;21:01:30
172.26.32.22;1/2;;;;;3HE05051ABAD0105;NS1145F0407;1999/12/31;21:01:28
172.26.32.220;1/1;;;;;3HE05051ABAE0106;NS1227F1129;2017/10/19;00:51:17
172.26.32.220;1/2;;;;;3HE05051ABAE0106;NS1227F1129;2017/10/19;00:51:15
172.26.32.222;1/1;;;;;3HE05051ABAE0105;NS1216F0391;1999/12/31;21:01:29
172.26.32.222;1/2;;;;;3HE05051ABAE0105;NS1216F0391;1999/12/31;21:01:27
172.26.41.3;1/1;;;;;3HE03611AAAC01;NS1237F0452;2017/02/15;12:58:35
172.26.41.3;1/2;;;;;3HE03611AAAC01;NS124767552;2017/02/15;12:58:35
172.26.32.2;1/1;;;;;3HE03611AAAC01;NS1130F0275;2018/08/09;04:00:22
172.26.32.2;1/2;;;;;3HE04274AAAA01;NS125264299;2018/08/09;04:00:22
172.26.32.2;2/1;;;;;3HE03611AAAC01;NS11266B669;2018/08/09;04:00:22
172.26.32.2;2/2;;;;;3HE04274AAAA01;NS1130F0142;2018/08/09;04:00:22
172.26.32.2;3/1;;;;;3HE04274AAAA01;NS1130F0128;2018/08/09;04:00:22
172.26.32.2;3/2;;;;;3HE03079AAAB01;NS113067537;2018/08/09;04:00:22
172.26.32.2;4/2;;;;;3HE03611AAAC01;NS1053F0771;2018/08/09;04:00:22
172.26.32.223;1/1;;;;;3HE05051ABAE0105;NS1216F0487;1999/12/31;21:01:30
172.26.32.223;1/2;;;;;3HE05051ABAE0105;NS1216F0487;1999/12/31;21:01:27
172.26.32.247;1/1;;;;;3HE06797AABC0105;NS1728S4631;1999/12/31;21:01:14
172.26.32.247;1/2;;;;;3HE06797AABC0105;NS1728S4631;1999/12/31;21:01:10
172.26.32.224;1/1;;;;;3HE05051ABAD0104;NS1138F0239;1999/12/31;21:01:29
172.26.32.224;1/2;;;;;3HE05051ABAD0104;NS1138F0239;1999/12/31;21:01:27
172.26.32.225;1/1;;;;;3HE05051ABAE0105;NS1216F1610;1999/12/31;21:01:29
172.26.32.225;1/2;;;;;3HE05051ABAE0105;NS1216F1610;1999/12/31;21:01:26
172.26.32.242;1/1;;;;;3HE06797AABC0102;NS1643S7029;1999/12/31;21:01:15
172.26.32.242;1/2;;;;;3HE06797AABC0102;NS1643S7029;1999/12/31;21:01:11
172.26.32.227;1/1;;;;;3HE05051ABAE0105;NS1217F0531;1999/12/31;21:01:30
172.26.32.227;1/2;;;;;3HE05051ABAE0105;NS1217F0531;1999/12/31;21:01:28
172.26.32.226;1/1;;;;;3HE05051ABAE0105;NS1217F1266;1999/12/31;21:01:29
172.26.32.226;1/2;;;;;3HE05051ABAE0105;NS1217F1266;1999/12/31;21:01:27
172.26.41.4;1/1;;;;;3HE03611AAAC01;NS124767555;2017/12/30;00:54:44
172.26.41.4;1/2;;;;;3HE03611AAAC01;NS130369895;2017/12/30;00:54:42
172.26.32.44;1/1;;;;;3HE06797AABC0101;NS1641S1391;1999/12/31;21:01:15
172.26.32.44;1/2;;;;;3HE06797AABC0101;NS1641S1391;1999/12/31;21:01:11
172.26.32.228;1/1;;;;;3HE05051ABAE0106;NS1231F2474;1999/12/31;21:01:29
172.26.32.228;1/2;;;;;3HE05051ABAE0106;NS1231F2474;1999/12/31;21:01:27
172.26.32.23;1/1;;;;;3HE05051ABAD0105;NS1145F0442;1999/12/31;21:01:29
172.26.32.23;1/2;;;;;3HE05051ABAD0105;NS1145F0442;1999/12/31;21:01:27
172.26.32.230;1/1;;;;;3HE05051ABAE0105;NS1217F1955;1999/12/31;21:01:31
172.26.32.230;1/2;;;;;3HE05051ABAE0105;NS1217F1955;1999/12/31;21:01:28
172.26.32.234;1/1;;;;;3HE05051ABAE0110;NS1332F1364;2017/10/06;00:19:38
172.26.32.234;1/2;;;;;3HE05051ABAE0110;NS1332F1364;2017/10/06;00:19:36
172.26.32.235;1/1;;;;;3HE05051ABAE0105;NS1217F0687;1999/12/31;21:01:29
172.26.32.235;1/2;;;;;3HE05051ABAE0105;NS1217F0687;1999/12/31;21:01:27
172.26.41.7;1/1;;;;;3HE05051ABAE0103;NS1214F0884;1999/12/31;21:01:30
172.26.41.7;1/2;;;;;3HE05051ABAE0103;NS1214F0884;1999/12/31;21:01:28
172.26.41.16;1/1;;;;;3HE06797AABB0111;NS1545S1035;2017/10/06;00:19:39
172.26.41.16;1/2;;;;;3HE06797AABB0111;NS1545S1035;2017/10/06;00:19:35
172.26.41.5;1/1;;;;;3HE06797AABC0102;NS1649S0479;1999/12/31;21:01:20
172.26.41.5;1/2;;;;;3HE06797AABC0102;NS1649S0479;1999/12/31;21:01:16
172.26.32.237;1/1;;;;;3HE05051ABAF0103;NS1443F1044;1999/12/31;21:01:30
172.26.32.237;1/2;;;;;3HE05051ABAF0103;NS1443F1044;1999/12/31;21:01:28
