172.26.32.10;1;up;halfspeed
172.26.32.11;1;up;halfspeed
172.26.32.12;1;up;halfspeed
172.26.32.13;1;up;halfspeed
172.26.32.14;1;up;halfspeed
172.26.32.16;1;up;halfspeed
172.26.32.17;1;up;halfspeed
172.26.32.18;1;up;halfspeed
172.26.32.197;1;up;halfspeed
172.26.32.202;1;failed;-
172.26.32.202;2;-;-
172.26.32.200;1;ok;normal
172.26.32.200;2;up;normal
172.26.32.199;1;up;halfspeed
172.26.32.201;1;ok;normal
172.26.32.201;2;up;normal
172.26.32.20;1;up;off
172.26.32.203;1;up;halfspeed
172.26.32.204;1;up;halfspeed
172.26.32.205;1;up;halfspeed
172.26.32.206;1;up;halfspeed
172.26.32.189;1;up;halfspeed
172.26.32.209;1;up;halfspeed
172.26.32.21;1;up;halfspeed
172.26.32.212;1;ok;fullspeed
172.26.32.212;2;up;fullspeed
172.26.32.214;1;up;halfspeed
172.26.32.210;1;up;halfspeed
172.26.32.215;1;ok;fullspeed
172.26.32.215;2;up;fullspeed
172.26.32.213;1;up;halfspeed
172.26.32.219;1;ok;fullspeed
172.26.32.219;2;up;fullspeed
172.26.32.42;1;up;halfspeed
172.26.32.22;1;up;halfspeed
172.26.32.220;1;up;halfspeed
172.26.32.222;1;up;halfspeed
172.26.32.223;1;minorfailure;fullspeed
172.26.32.224;1;up;halfspeed
172.26.32.225;1;up;halfspeed
172.26.32.227;1;up;halfspeed
172.26.32.226;1;up;halfspeed
172.26.32.228;1;up;halfspeed
172.26.32.23;1;up;off
172.26.32.230;1;up;halfspeed
172.26.32.234;1;up;halfspeed
172.26.32.235;1;up;halfspeed
172.26.41.7;1;up;halfspeed
172.26.32.237;1;up;halfspeed
172.26.32.24;1;up;halfspeed
172.26.41.10;1;up;halfspeed
172.26.32.26;1;up;halfspeed
172.26.32.27;1;up;halfspeed
172.26.32.28;1;up;halfspeed
172.26.32.29;1;up;halfspeed
172.26.41.15;1;up;halfspeed
172.26.32.31;1;up;halfspeed
172.26.32.32;1;up;halfspeed
172.26.34.113;1;up;halfspeed
172.26.32.50;1;up;halfspeed
172.26.41.9;1;up;halfspeed
172.26.32.6;1;up;halfspeed
172.26.32.5;1;up;halfspeed
172.26.32.8;1;up;halfspeed
172.26.32.7;1;up;halfspeed
172.26.32.246;1;up;fullspeed
172.26.33.10;1;up;halfspeed
172.26.33.101;1;up;halfspeed
172.26.33.102;1;up;halfspeed
172.26.33.103;1;up;halfspeed
172.26.33.104;1;up;halfspeed
172.26.33.11;1;up;halfspeed
172.26.33.121;1;up;halfspeed
172.26.33.122;1;up;halfspeed
172.26.33.123;1;up;halfspeed
172.26.33.129;1;up;halfspeed
172.26.33.124;1;up;halfspeed
172.26.33.130;1;up;halfspeed
172.26.33.131;1;up;halfspeed
172.26.33.132;1;up;halfspeed
