172.26.32.17;TO_SARM_CARMEN_HUECH_13602_1/1/2;172.27.0.62;30;1/1/1;N/A;Network;Up;Up;172.27.0.60
172.26.32.17;system;172.26.32.17;32;system;N/A;Network;Up;Up;172.26.32.17
172.26.32.18;BC_23i650_loopback;10.55.7.53;32;loopback;N/A;Network;Up;Up;10.55.7.53
172.26.32.18;TOP5000_TO_NODO_B_13iX026;10.60.0.97;30;1/1/3;95;IES;Up;Up;10.60.0.96
172.26.32.18;TOP5000_TO_eNode_B_23i650_TOP;10.52.80.209;30;1/1/4;90;IES;Up;Down;10.52.80.208
172.26.32.18;TO_QUILICURA_MRA_1/1/4;172.27.0.74;30;1/1/1;N/A;Network;Up;Up;172.27.0.72
172.26.32.18;TO_RINC_EL_SALTO_13839_1/1/1;Not;Not;1/1/2;N/A;Network;Up;Down;0.0.0.0
172.26.32.18;system;172.26.32.18;32;system;N/A;Network;Up;Up;172.26.32.18
172.26.32.197;BC_23L091_loopback;10.55.7.73;32;loopback;N/A;Network;Up;Up;10.55.7.73
172.26.32.197;TOP5000_Node_B_23XTEST_TOP;10.60.19.25;30;1/1/6;95;IES;Up;Up;10.60.19.24
172.26.32.197;TOP5000_TO_eNode_B_23L091_TOP;10.52.81.33;30;1/1/7;90;IES;Up;Up;10.52.81.32
172.26.32.197;TO_LAMPA_NORTE_13303_1/1/1;172.27.0.197;30;1/1/2;N/A;Network;Up;Up;172.27.0.196
172.26.32.197;TO_QUILICURA_MR_A_13H001_2/1/8;172.27.0.194;30;1/1/1;N/A;Network;Up;Up;172.27.0.192
172.26.32.197;system;172.26.32.197;32;system;N/A;Network;Up;Up;172.26.32.197
172.26.32.202;BC_13L019_loopback;10.55.7.2;32;loopback;N/A;Network;Up;Up;10.55.7.2
172.26.32.202;TOP5000_TO_eNode_B_13L019_TOP;10.52.80.5;30;1/2/1;90;IES;Up;Up;10.52.80.4
172.26.32.200;BC_33iX180_loopback;10.55.7.60;32;loopback;N/A;Network;Up;Up;10.55.7.60
172.26.32.202;TOP5000_TO_eNode_B_13W019_TOP;10.60.37.25;30;1/1/5;95;IES;Up;Up;10.60.37.24
172.26.32.200;TOP5000_TO_NODE_B_33iX180_TOP;10.60.5.137;30;1/4/7;95;IES;Up;Up;10.60.5.136
172.26.32.200;TOP5000_TO_NODO_B_33iX326;10.60.12.197;30;1/4/8;95;IES;Up;Up;10.60.12.196
172.26.32.202;TOP5000_TO_eNode_B_13X019_TOP;10.60.37.29;30;1/1/6;96;IES;Up;Up;10.60.37.28
172.26.32.200;TO_BATUCO_13302_1/1/1;172.27.1.93;30;1/1/8;N/A;Network;Up;Up;172.27.1.92
172.26.32.202;TO_CHICUREO_LR_13014_1/1/1;172.27.1.169;30;1/2/8;N/A;Network;Up;Up;172.27.1.168
172.26.32.200;TO_CONCERT_HR_A_13006_LAG-3;172.27.2.1;30;lag-1;N/A;Network;Up;Up;172.27.2.0
172.26.32.202;TO_QUI_IND_13154_1/1/1;172.27.2.17;30;1/2/7;N/A;Network;Up;Up;172.27.2.16
172.26.32.200;TO_CORP_CONCERT_B_LAG-2;172.27.2.9;30;lag-2;N/A;Network;Up;Up;172.27.2.8
172.26.32.202;TO_SAR8_A_CONCERT_1/2/7;172.27.2.14;30;1/1/7;N/A;Network;Up;Up;172.27.2.12
172.26.32.202;system;172.26.32.202;32;system;N/A;Network;Up;Up;172.26.32.202
172.26.32.200;TO_CRUCE_LO_PINTO_13283_1/1/1;172.27.2.225;30;1/3/8;N/A;Network;Up;Up;172.27.2.224
172.26.32.200;TO_QUILICURA2_13019_1/1/7;172.27.2.13;30;1/2/7;N/A;Network;Up;Up;172.27.2.12
172.26.32.200;TO_SARM_ESTERAS_SUR_13840_1/1/1;172.27.2.37;30;1/3/7;N/A;Network;Up;Up;172.27.2.36
172.26.32.200;TO_TRENES_INDUST_23789_1/1/5;172.27.1.117;30;1/1/6;N/A;Network;Up;Up;172.27.1.116
172.26.32.200;system;172.26.32.200;32;system;N/A;Network;Up;Up;172.26.32.200
172.26.32.199;BC_13W303_loopback;10.55.7.10;32;loopback;N/A;Network;Up;Up;10.55.7.10
172.26.32.199;TOP5000_TO_BTS_2G_13303_TOP;10.60.61.37;30;1/1/4;95;IES;Up;Up;10.60.61.36
172.26.32.201;TO_ANWO_23604_1/1/1;172.27.2.149;30;1/3/8;N/A;Network;Up;Up;172.27.2.148
172.26.32.199;TOP5000_TO_eNode_B_13303_TOP;10.60.35.245;30;1/1/5;100;IES;Up;Up;10.60.35.244
172.26.32.201;TO_CAMINO_LO_PINTO_13077_1/1/1;172.27.1.137;30;1/1/5;N/A;Network;Up;Up;172.27.1.136
172.26.32.199;TOP5000_TO_eNode_B_13W303_TOP;10.52.80.37;30;1/1/7;90;IES;Up;Up;10.52.80.36
172.26.32.201;TO_CHICUREO_CSR_13014_1/2/4;172.27.1.114;30;1/1/8;N/A;Network;Up;Up;172.27.1.112
172.26.32.199;TOP5000_TO_eNode_B_13X303_TOP;10.60.35.249;30;1/1/5;101;IES;Up;Up;10.60.35.248
172.26.32.201;TO_CONCERT_HR_B_13006_LAG-3;172.27.2.5;30;lag-1;N/A;Network;Up;Up;172.27.2.4
172.26.32.199;TO_LAMPA_RIBEIRO_23091_1/1/2;172.27.0.198;30;1/1/1;N/A;Network;Up;Up;172.27.0.196
172.26.32.201;TO_CORP_CONCERT_A_LAG-2;172.27.2.10;30;lag-2;N/A;Network;Up;Up;172.27.2.8
172.26.32.199;TO_SR7_QUILIC_MRB_13H001_2/1/8;172.27.0.213;30;1/1/2;N/A;Network;Up;Up;172.27.0.212
172.26.32.201;TO_DANONE_CANAVERAL_33i489_1/1/1;172.27.2.217;30;1/4/8;N/A;Network;Up;Down;172.27.2.216
172.26.32.199;system;172.26.32.199;32;system;N/A;Network;Up;Up;172.26.32.199
172.26.32.25;BC_13_566_loopback;10.55.7.123;32;loopback;N/A;Network;Up;Up;10.55.7.123
172.26.32.201;TO_ESTACION_COLINA_13828_1/1/2;172.27.2.242;30;1/4/7;N/A;Network;Up;Up;172.27.2.240
172.26.32.25;TOP5000_TO_eNode_B_13L566_TOP;10.52.81.233;30;1/1/3;90;IES;Up;Up;10.52.81.232
172.26.32.201;TO_PARQUE_INDUSTRIAL_13173_1/1/2;172.27.2.34;30;1/2/7;N/A;Network;Up;Up;172.27.2.32
172.26.32.201;TO_PENA_QUILICURA_23794_1/1/2;172.27.1.134;30;1/1/6;N/A;Network;Up;Up;172.27.1.132
172.26.32.25;TOP5000_TO_eNode_B_13W566_TOP;10.60.42.21;30;1/1/9;95;IES;Up;Up;10.60.42.20
172.26.32.201;TO_SARM_PANAMER_NOR_13307_1/1/2;172.27.2.58;30;1/3/7;N/A;Network;Up;Up;172.27.2.56
172.26.32.25;TOP5000_TO_eNode_B_13X566_TOP;10.60.42.25;30;1/1/9;96;IES;Up;Up;10.60.42.24
172.26.32.201;system;172.26.32.201;32;system;N/A;Network;Up;Up;172.26.32.201
172.26.32.25;TO_GUARD_RIQUELME_13327_1/1/3;172.27.1.142;30;1/1/1;N/A;Network;Up;Up;172.27.1.140
172.26.32.20;BC_23W393_loopback;10.55.7.49;32;loopback;N/A;Network;Up;Up;10.55.7.49
172.26.32.25;system;172.26.32.25;32;system;N/A;Network;Up;Up;172.26.32.25
172.26.32.20;TOP5000_TO_eNode_B_23W393_TOP;10.52.80.193;30;1/1/7;90;IES;Up;Up;10.52.80.192
172.26.32.20;TOP5000_TO_eNode_B_33iX684_TOP;10.60.26.185;30;1/1/3;95;IES;Up;Up;10.60.26.184
172.26.32.20;TO_IND_MOVICENTER_13494_1/1/1;172.27.0.85;30;1/1/2;N/A;Network;Up;Up;172.27.0.84
172.26.32.20;TO_MUN_DE_HUECHURABA_23630_1/1/2;172.27.0.90;30;1/1/1;N/A;Network;Up;Up;172.27.0.88
172.26.32.20;system;172.26.32.20;32;system;N/A;Network;Up;Up;172.26.32.20
172.26.32.203;BC_13154_loopback;10.55.7.87;32;loopback;N/A;Network;Up;Up;10.55.7.87
172.26.32.203;TOP5000_TO_eNode_B_13N154_TOP;10.52.81.89;30;1/1/7;90;IES;Up;Up;10.52.81.88
172.26.32.203;TO_QUILICURA2_13019_1/2/7;172.27.2.18;30;1/1/1;N/A;Network;Up;Up;172.27.2.16
172.26.32.203;TO_QUIL_PARQ_NORTE_13305_1/1/1;172.27.2.21;30;1/1/2;N/A;Network;Up;Up;172.27.2.20
172.26.32.203;system;172.26.32.203;32;system;N/A;Network;Up;Up;172.26.32.203
172.26.32.204;BC_13305_loopback;10.55.7.8;32;loopback;N/A;Network;Up;Up;10.55.7.8
172.26.32.204;TOP5000_TO_eNode_B_13305_TOP;10.52.80.29;30;1/1/7;90;IES;Up;Up;10.52.80.28
172.26.32.205;BC_13173_loopback;10.55.7.6;32;loopback;N/A;Network;Up;Up;10.55.7.6
172.26.32.204;TO_HERMANOS_CARRERA_23788_1/1/1;172.27.2.25;30;1/1/2;N/A;Network;Up;Up;172.27.2.24
172.26.32.205;TOP5000_TO_eNode_B_13173_TOP;10.52.80.21;30;1/1/6;90;IES;Up;Up;10.52.80.20
172.26.32.204;TO_SARM_QUILIM_13154_1/1/2;172.27.2.22;30;1/1/1;N/A;Network;Up;Up;172.27.2.20
172.26.32.205;TOP5000_TO_eNode_B_13W173_TOP;10.60.17.113;30;1/1/5;95;IES;Up;Up;10.60.17.112
172.26.32.204;system;172.26.32.204;32;system;N/A;Network;Up;Up;172.26.32.204
