172.26.32.10;boundary;ptp;BC_13L599_loopb*;Up;Up
172.26.32.11;boundary;ptp;BC_13827_loopba*;Up;Up
172.26.32.12;boundary;ptp;BC_13L626_loopb*;Up;Up
172.26.32.13;boundary;ptp;BC_13327_loopba*;Up;Up
172.26.32.14;boundary;ptp;BC_13323_loopba*;Up;Up
172.26.32.16;boundary;ptp;BC_13602_loopba*;Up;Up
172.26.32.17;boundary;ptp;BC_13914_loopba*;Up;Up
172.26.32.18;boundary;ptp;BC_23i650_loopb*;Up;Up
172.26.32.197;boundary;ptp;BC_23L091_loopb*;Up;Up
172.26.32.202;boundary;ptp;BC_13L019_loopb*;Up;Up
172.26.32.200;boundary;ptp;BC_33iX180_loop*;Up;Up
172.26.32.199;boundary;ptp;BC_13W303_loopb*;Up;Up
172.26.32.25;boundary;ptp;BC_13_566_loopb*;Up;Up
172.26.32.20;boundary;ptp;BC_23W393_loopb*;Up;Up
172.26.32.203;boundary;ptp;BC_13154_loopba*;Up;Up
172.26.32.204;boundary;ptp;BC_13305_loopba*;Up;Up
172.26.32.205;boundary;ptp;BC_13173_loopba*;Up;Up
172.26.32.206;boundary;ptp;BC_13L840_loopb*;Up;Up
172.26.32.189;boundary;ptp;BC_13077_loopba*;Up;Up
172.26.32.207;boundary;ptp;BC_13308_loopba*;Up;Up
172.26.32.45;boundary;ptp;BC_13302_loopba*;Up;Up
172.26.32.190;boundary;ptp;BC_23794_loopba*;Up;Up
172.26.32.248;boundary;ptp;BC_23789_loopba*;Up;Up
172.26.32.208;boundary;ptp;BC_33D261_loopb*;Up;Up
172.26.32.209;boundary;ptp;BC_23L066_loopb*;Up;Up
172.26.32.21;boundary;ptp;BC_13494_loopba*;Up;Up
172.26.32.212;boundary;ptp;BC_13iL006_loopback;Up;Up
172.26.32.210;boundary;ptp;BC_13307_loopba*;Up;Up
172.26.32.215;boundary;ptp;BC_13004_loopback;Up;Up
172.26.32.213;boundary;ptp;BC_13537_loopba*;Up;Up
172.26.32.43;boundary;ptp;BC_23788_loopba*;Up;Up
172.26.32.42;boundary;ptp;BC_13413_loopba*;Up;Up
172.26.32.191;boundary;ptp;BC_23791_loopba*;Up;Up
172.26.32.22;boundary;ptp;BC_33i325_loopb*;Up;Up
172.26.32.220;boundary;ptp;BC_23357_loopba*;Up;Up
172.26.32.222;boundary;ptp;BC_23165_loopba*;Up;Up
172.26.32.223;boundary;ptp;BC_13920_loopba*;Up;Up
172.26.32.247;boundary;ptp;BC_33i796_loopb*;Up;Up
172.26.32.224;boundary;ptp;BC_13970_loopba*;Up;Up
172.26.32.225;boundary;ptp;BC_23604_loopba*;Up;Up
172.26.32.242;boundary;ptp;BC_13I009_loopb*;Up;Up
172.26.32.227;boundary;ptp;BC_13423_loopba*;Up;Up
172.26.32.226;boundary;ptp;BC_13L919_loopb*;Up;Up
172.26.32.44;boundary;ptp;BC_33i641_loopb*;Up;Up
172.26.32.228;boundary;ptp;BC_13L828_loopb*;Up;Up
172.26.32.23;boundary;ptp;BC_13005_loopba*;Up;Up
172.26.32.230;boundary;ptp;BC_23L070_loopb*;Up;Up
172.26.32.234;boundary;ptp;BC_33iX122_loop*;Up;Up
172.26.32.235;boundary;ptp;BC_23_346_loopb*;Up;Up
172.26.41.7;boundary;ptp;BC_13309_loopba*;Up;Up
172.26.41.16;boundary;ptp;BC_13043_loopba*;Up;Up
172.26.41.5;boundary;ptp;BC_13098_loopba*;Up;Up
172.26.32.237;boundary;ptp;BC_33iX352_loop*;Up;Up
172.26.32.238;boundary;ptp;BC_13D283_loopb*;Up;Up
172.26.32.24;boundary;ptp;BC_13L524_loopb*;Up;Up
172.26.32.240;boundary;ptp;BC_05L071_loopb*;Up;Up
172.26.41.12;boundary;ptp;BC_13412_loopba*;Up;Up
172.26.32.241;boundary;ptp;BC_05384_loopba*;Up;Up
172.26.41.10;boundary;ptp;BC_23134_loopba*;Up;Up
172.26.32.231;boundary;ptp;BC_13152_loopba*;Up;Up
172.26.41.8;boundary;ptp;BC_23088_loopba*;Up;Up
172.26.34.115;boundary;ptp;BC_13001_loopba*;Up;Up
172.26.32.26;boundary;ptp;BC_13933_loopba*;Up;Up
172.26.32.27;boundary;ptp;BC_13867_loopba*;Up;Up
172.26.32.28;boundary;ptp;BC_23W611_loopb*;Up;Up
172.26.41.11;boundary;ptp;BC_23N247_loopb*;Up;Up
172.26.32.29;boundary;ptp;BC_23D630_loopb*;Up;Up
172.26.41.6;boundary;ptp;BC_13181_loopba*;Up;Up
172.26.41.15;boundary;ptp;BC_13300_loopba*;Up;Up
172.26.32.31;boundary;ptp;BC_13D961_loopb*;Up;Up
172.26.32.32;boundary;ptp;BC_33D416_loopb*;Up;Up
172.26.32.33;boundary;ptp;BC_23D207_loopb*;Up;Up
172.26.32.34;boundary;ptp;BC_23D815_loopb*;Up;Up
172.26.34.114;boundary;ptp;BC_13444_loopba*;Up;Up
172.26.34.113;boundary;ptp;BC_05081_loopba*;Up;Up
172.26.32.35;boundary;ptp;BC_23D477_loopb*;Up;Up
172.26.32.36;boundary;ptp;BC_23D578_loopb*;Up;Up
172.26.34.117;boundary;ptp;BC_13301_loopba*;Up;Up
172.26.32.50;boundary;ptp;BC_SAE_002_loop*;Up;Up
172.26.32.38;boundary;ptp;BC_13D107_loopb*;Up;Up
172.26.41.9;boundary;ptp;BC_13N646_loopb*;Up;Up
172.26.32.6;boundary;ptp;BC_13W587_loopb*;Up;Up
172.26.32.5;boundary;ptp;BC_13L471_loopb*;Up;Up
172.26.32.8;boundary;ptp;BC_13L445_loopb*;Up;Up
172.26.32.7;boundary;ptp;BC_13D472_loopb*;Up;Up
172.26.32.9;boundary;ptp;BC_13L894_loopb*;Up;Up
172.26.33.10;boundary;ptp;BC_13725_loopba*;Up;Up
172.26.33.101;boundary;ptp;BC_23L482_loopb*;Up;Up
172.26.33.102;boundary;ptp;BC_13740_loopba*;Up;Up
172.26.33.103;boundary;ptp;BC_13741_loopba*;Up;Up
172.26.33.104;boundary;ptp;BC_13297_loopba*;Up;Up
172.26.33.11;boundary;ptp;BC_13698_loopba*;Up;Up
172.26.33.12;boundary;ptp;BC_13837_loopba*;Up;Up
172.26.32.46;boundary;ptp;BC_13306_loopba*;Up;Up
172.26.33.112;boundary;ptp;BC_13L999_loopb*;Up;Up
172.26.33.121;boundary;ptp;BC_13L082_loopb*;Up;Up
172.26.33.122;boundary;ptp;BC_13569_loopba*;Up;Up
172.26.33.123;boundary;ptp;BC_13563_loopba*;Up;Up
172.26.33.129;boundary;ptp;BC_13641_loopba*;Up;Up
172.26.33.124;boundary;ptp;BC_13633_loopba*;Up;Up
172.26.33.130;boundary;ptp;BC_13L16_loopba*;Up;Up
172.26.33.131;boundary;ptp;BC_13_470_loopb*;Up;Up
172.26.33.132;boundary;ptp;BC_13564_loopba*;Up;Up
172.26.33.133;boundary;ptp;BC_23D372_loopb*;Up;Up
172.26.33.134;boundary;ptp;BC_23L325_loopb*;Up;Up
172.26.33.135;boundary;ptp;BC_23_454_loopb*;Up;Up
172.26.33.161;boundary;ptp;BC_23949_loopba*;Up;Up
172.26.33.136;boundary;ptp;BC_13i144_loopb*;Up;Up
172.26.33.137;boundary;ptp;BC_23D323_loopb*;Up;Up
