172.26.32.203;TO_QUIL_PARQ_NORTE_13305_1/1/1;0.0.13.26;1;0
172.26.32.203;BC_13154_loopback;0.0.13.26;Point;0
172.26.32.204;system;0.0.13.26;1;0
172.26.32.204;TO_SARM_QUILIM_13154_1/1/2;0.0.13.26;Broadcast;0
172.26.32.204;BC_13305_loopback;0.0.13.26;1;0
172.26.32.204;TO_HERMANOS_CARRERA_23788_1/1/1;0.0.13.26;Point;0
172.26.32.205;system;0.0.13.26;1;0
172.26.32.205;TO_SAR8_B_CONCEPT_1/2/7;0.0.13.26;Broadcast;0
172.26.32.205;BC_13173_loopback;0.0.13.26;1;0
172.26.32.205;TO_HERMANOS_CARRERA_23788_1/1/2;0.0.13.26;Point;0
172.26.32.206;system;0.0.13.26;1;0
172.26.32.206;TO_SAR8_A_CONCERT_1/3/7;0.0.13.26;Broadcast;0
172.26.32.206;TO_P_NOR_S_IGN_13308_1/1/1;0.0.13.26;1;0
172.26.32.206;BC_13L840_loopback;0.0.13.26;Point;0
172.26.32.189;system;0.0.13.26;1;0
172.26.32.189;BC_13077_loopback;0.0.13.26;Broadcast;0
172.26.32.189;TO_SAR8V2_CORP_CONCERT_B_1/1/5;0.0.13.26;1;0
172.26.32.207;system;0.0.13.26;1;0
172.26.32.207;BC_13308_loopback;0.0.13.26;Broadcast;0
172.26.32.207;TO_SARM_ESTSUR_Q_13840_1/1/2;0.0.13.26;1;0
172.26.32.207;TO_CRU_LAU_13314_1/1/1;0.0.13.26;Broadcast;0
172.26.32.45;system;0.0.13.26;1;0
172.26.32.45;Batuco_13919;0.0.13.26;Broadcast;0
172.26.32.45;BC_13302_loopback;0.0.13.26;1;0
172.26.32.45;TO_ACC_NORORIENTE1_13413_1/1/1;0.0.13.26;Point;0
172.26.32.45;TO_SAR-8_A_CONCERT_CORP_1/1/8;0.0.13.26;1;0
172.26.32.190;system;0.0.13.26;1;0
172.26.32.190;TO_MAQ_LINCOYAN_23791_1/1/2;0.0.13.26;Broadcast;0
172.26.32.190;TO_CORP_CONCERT_B_1/1/6;0.0.13.26;1;0
172.26.32.190;BC_23794_loopback;0.0.13.26;Point;0
172.26.32.248;system;0.0.13.26;1;0
172.26.32.248;TO_CORP_CONCERT_A_1/1/6;0.0.13.26;Broadcast;0
172.26.32.248;TO_MAQ_LINCOYAN_23791_1/1/1;0.0.13.26;1;0
172.26.32.248;BC_23789_loopback;0.0.13.26;Point;0
172.26.32.208;system;0.0.13.26;1;0
172.26.32.208;TO_QUI_AV_LAUTARO_23066_1/1/1;0.0.13.26;Broadcast;0
172.26.32.208;TO_SAN_IGNACIO_13308_1/1/2;0.0.13.26;1;0
172.26.32.208;BC_33D261_loopback;0.0.13.26;Point;0
172.26.32.209;system;0.0.13.26;1;0
172.26.32.209;TO_CRU_LAUTARO_13314_1/1/2;0.0.13.26;Broadcast;0
172.26.32.209;TO_SARM_PAN_NORTE_13_307;0.0.13.26;1;0
172.26.32.209;BC_23L066_loopback;0.0.13.26;Point;0
172.26.32.21;system;0.0.13.25;1;0
172.26.32.21;TO_PUNTA_MOCHA_23393_1/1/2;0.0.13.25;Broadcast;0
172.26.32.21;TO_MR_B_QUILIC_13H001_1/1/4;0.0.13.25;1;0
172.26.32.21;BC_13494_loopback;0.0.13.25;Point;0
172.26.32.212;system;0.0.13.25;Broadcast;0
172.26.32.212;TO_AEROPUERTO_LR_13054_1/2/8;0.0.13.25;Point;0
172.26.32.212;BC_13iL006_loopback;0.0.13.25;Broadcast;0
172.26.32.212;TO_QUILICURA_MRB_13H001_2/1/6;0.0.13.25;Point;0
172.26.32.214;system;0.0.13.26;1;0
172.26.32.214;TO_SAR8_PZA_NTE_CORP_13537_1/1/8;0.0.13.26;Broadcast;0
172.26.32.1;system;0.0.0.0;1;0
172.26.32.1;TO_SAR8_SAN_ANTONIO_25001;0.0.13.5;Broadcast;0
172.26.32.1;TO_CONCERT_HRB_13006_2/2/1;0.0.0.0;1;0
172.26.32.1;TO_HRB_CERRILLOS_3/1/1_VLAN100;0.0.0.0;1;0
172.26.32.1;TO_MALL_PLAZA_NORTE_13537_1/1/7;0.0.13.26;Secondary;0
172.26.32.1;TO_CORP_CONCERT_A_LAG-1;0.0.13.26;1;0
172.26.32.1;TO_SAN_ANTONIO_POP_25001_LAG-2;0.0.13.5;Secondary;0
172.26.32.1;TO_O&M_Cisco_L1_Sw_2;0.0.0.0;1;0
172.26.32.1;To_TOP_CONCERT_A;0.0.0.0;Secondary;0
172.26.32.1;TO_CPAA1_Area_0.0.13.25;0.0.13.25;1;0
172.26.32.1;TO_CPAA1_Area_0.0.13.26;0.0.13.26;Secondary;0
172.26.32.1;TO_SAN_ANTONIO_25001_1/1/8;0.0.13.5;1;20000
172.26.32.1;TO_DATACENTER_LIRAY_MR_A_1/1/10;0.0.13.23;Point;0
172.26.32.1;TO_QUILICURA_MR_A_13H001_LAG-1;0.0.13.25;1;0
172.26.32.210;system;0.0.13.26;1;0
172.26.32.210;TO_SAR8_B_CONCERT_1/3/7;0.0.13.26;Broadcast;60000
172.26.32.210;TO_QUI_AV_LAUTARO_23066_1/1/2;0.0.13.26;1;0
172.26.32.210;BC_13307_loopback;0.0.13.26;Point;0
172.26.32.210;TO_NOVOFARMA_33i796_1/1/5;0.0.13.26;1;0
172.26.32.215;system;0.0.13.25;Broadcast;0
172.26.32.215;TO_QUILICURA_MR_A_13H001_2/1/9;0.0.13.25;Point;0
172.26.32.215;TO_QUILICURA_MR_B_13H001_2/1/9;0.0.13.25;Point;0
172.26.32.215;BC_13004_loopback;0.0.13.25;Broadcast;0
172.26.32.215;TO_OF_ARAUCO_QUIL_33i352_1/1/1;0.0.13.25;Point;0
172.26.32.213;system;0.0.13.26;1;0
172.26.32.213;TO_NODO_MALL_PZA_NORTE;0.0.13.26;Broadcast;0
172.26.32.213;BC_13537_loopback;0.0.13.26;1;0
172.26.32.219;system;0.0.13.26;Broadcast;0
172.26.32.219;TO_CONCERT_HR_A_13006_2/1/8;0.0.13.26;Point;0
172.26.32.219;TO_CONCERT_HR_B_13006_2/1/8;0.0.13.26;Point;0
172.26.32.219;TO_MALL_PLAZA_NORTE_13537_1/1/1;0.0.13.26;Point;0
172.26.32.219;TO_SUC_PZA_NORTE_13i145_1/1/1;0.0.13.26;Point;0
172.26.32.219;TO_MALL_PLAZA_NORTE_13I009_1/1/1;0.0.13.26;Point;0
172.26.32.43;system;0.0.13.26;1;0
172.26.32.43;TO_QUIL_PARQ_NORTE_13305_1/1/2;0.0.13.26;Broadcast;0
172.26.32.43;TO_SARM_PINDLOS_13173_1/1/1;0.0.13.26;1;0
172.26.32.43;BC_23788_loopback;0.0.13.26;Point;0
172.26.32.43;TO_LASERDISC_CSR_33i641_1/1/5;0.0.13.26;1;0
172.26.32.42;system;0.0.13.26;1;0
172.26.32.42;TO_BATUCO_CSR_13302_1/1/2;0.0.13.26;Broadcast;0
172.26.32.42;TO_ACCESO_NORIENTE_23165_1/1/1;0.0.13.26;1;0
172.26.32.42;BC_13413_loopback;0.0.13.26;Point;0
172.26.39.72;system;0.0.0.0;1;0
172.26.39.72;to_HRA_Salto_Area_0;0.0.0.0;Point;0
172.26.39.72;to_HRA_Salto_Area_0.0.13.15;0.0.13.15;1;0
172.26.39.72;to_HRA_Salto_Area_0.0.13.13;0.0.13.13;Point;0
172.26.39.72;to_HRA_Salto_Area_0.0.13.100;0.0.13.100;1;0
172.26.39.72;to_HRA_Cerrillos_Area_0.0.13.1;0.0.13.1;Point;0
172.26.39.72;to_HRA_Concert_Area_0.0.13.25;0.0.13.25;1;0
172.26.39.72;to_HRA_Concert_Area_0.0.13.26;0.0.13.26;Point;0
172.26.39.72;to_HRA_Condor_Area_0.0.13.21;0.0.13.21;1;0
172.26.39.72;to_HRA_Condor_Area_0.0.13.22;0.0.13.22;Point;0
172.26.39.72;to_HRA_Canas_Area_0.0.13.14;0.0.13.14;1;0
172.26.39.72;to_HRA_Canas_Area_0.0.13.9;0.0.13.9;Point;0
172.26.39.72;to_HRA_Canas_Area_0.0.13.17;0.0.13.17;1;0
172.26.39.72;to_HRA_Condor_Area_0.0.13.106;0.0.13.106;Point;0
