172.26.32.10;1/1/7;10;10;Up;Up
172.26.32.10;1/1/7;50;50;Up;Up
172.26.32.10;1/1/4;N/A;2000;Up;Up
172.26.32.10;1/1/7;90;6000;Up;Up
172.26.32.10;1/1/5;95;7000;Up;Up
172.26.32.10;1/1/5;96;7000;Up;Up
172.26.32.10;1/1/5;2282;135991003;Up;Up
172.26.32.10;1/1/5;2283;135991004;Up;Up
172.26.32.11;1/1/7;10;10;Up;Up
172.26.32.11;1/1/7;50;50;Up;Up
172.26.32.11;1/1/7;90;6000;Up;Up
172.26.32.11;1/1/5;95;7000;Up;Up
172.26.32.11;1/1/5;2282;138271003;Up;Up
172.26.32.11;1/1/6;2283;138271004;Up;Down
172.26.32.11;1/2/1.1;N/A;138273001;Up;Up
172.26.32.11;1/2/2.1;N/A;138273002;Up;Down
172.26.32.12;1/1/7;10;10;Up;Up
172.26.32.12;1/1/7;50;50;Up;Up
172.26.32.12;1/1/7;90;6000;Up;Up
172.26.32.12;1/1/5;95;7000;Up;Up
172.26.32.12;1/1/6;96;7000;Up;Up
172.26.32.12;1/1/5;2282;136261003;Up;Up
172.26.32.12;1/1/6;2283;136261004;Up;Up
172.26.32.13;1/1/7;10;10;Up;Up
172.26.32.13;1/1/7;50;50;Up;Up
172.26.32.13;1/1/7;90;7000;Up;Up
172.26.32.13;1/1/5;2124;133271001;Up;Up
172.26.32.13;1/1/5;2125;133271002;Up;Up
172.26.32.14;1/1/4;10;10;Up;Up
172.26.32.14;1/1/4;50;50;Up;Up
172.26.32.14;1/1/4;90;6000;Up;Up
172.26.32.14;1/1/5;95;7000;Up;Up
172.26.32.14;1/1/5;2006;133231001;Up;Up
172.26.32.14;1/1/6;2004;133231002;Up;Down
172.26.32.16;1/1/7;10;10;Up;Up
172.26.32.16;1/1/7;50;50;Up;Up
172.26.32.16;1/1/7;90;6000;Up;Up
172.26.32.16;1/1/5;95;7000;Up;Up
172.26.32.16;1/1/6;96;7001;Up;Up
172.26.32.16;1/1/5;2006;136021001;Up;Up
