172.26.32.11;10;10.50.230.33/32;10.52.72.130;TO_eNodeB_13L827;NH;Y;5
172.26.32.11;50;10.50.49.0/29;10.52.76.130;TO_eNodeB_13L827;NH;Y;5
172.26.32.11;50;10.50.198.33/32;10.52.76.130;TO_eNodeB_13L827;NH;Y;5
172.26.32.18;10;10.50.230.53/32;10.52.72.210;n/a;NH;N;5
172.26.32.18;50;10.50.49.160/29;10.52.76.210;n/a;NH;N;5
172.26.32.18;50;10.50.198.53/32;10.52.76.210;n/a;NH;N;5
172.26.32.18;50;10.207.212.40/29;10.207.202.21;TO_NodeB_13iX026;NH;Y;5
172.26.32.14;10;10.50.230.14/32;10.52.72.54;TO_eNodeB_13L323;NH;Y;5
172.26.32.10;10;10.50.230.29/32;10.52.72.114;TO_eNodeB_13L599;NH;Y;5
172.26.32.14;50;10.50.48.104/29;10.52.76.54;TO_eNodeB_13L323;NH;Y;5
172.26.32.14;50;10.50.198.14/32;10.52.76.54;TO_eNodeB_13L323;NH;Y;5
172.26.32.10;50;10.50.48.224/29;10.52.76.114;TO_eNodeB_13L599;NH;Y;5
172.26.32.10;50;10.50.198.29/32;10.52.76.114;TO_eNodeB_13L599;NH;Y;5
172.26.32.12;10;10.50.230.31/32;10.52.72.122;TO_eNodeB_13L626;NH;Y;5
172.26.32.12;50;10.50.48.240/29;10.52.76.122;TO_eNodeB_13L626;NH;Y;5
172.26.32.12;50;10.50.198.31/32;10.52.76.122;TO_eNodeB_13L626;NH;Y;5
172.26.32.16;10;10.50.230.30/32;10.52.72.118;TO_eNodeB_13L602;NH;Y;5
172.26.32.16;50;10.50.48.232/29;10.52.76.118;TO_eNodeB_13L602;NH;Y;5
172.26.32.16;50;10.50.198.30/32;10.52.76.118;TO_eNodeB_13L602;NH;Y;5
172.26.32.17;10;10.50.230.38/32;10.52.72.150;TO_eNodeB_13L914;NH;Y;5
172.26.32.13;10;10.50.230.17/32;10.52.72.66;TO_eNodeB_13L327;NH;Y;5
172.26.32.25;10;10.50.230.123/32;10.52.73.234;TO_eNodeB_13L566;NH;Y;5
172.26.32.17;50;10.50.49.40/29;10.52.76.150;TO_eNodeB_13L914;NH;Y;5
172.26.32.17;50;10.50.198.38/32;10.52.76.150;TO_eNodeB_13L914;NH;Y;5
172.26.32.13;50;10.50.48.128/29;10.52.76.66;TO_eNodeB_13L327;NH;Y;5
172.26.32.13;50;10.50.198.17/32;10.52.76.66;TO_eNodeB_13L327;NH;Y;5
172.26.32.25;50;10.50.51.208/29;10.52.77.234;TO_eNodeB_13L566;NH;Y;5
172.26.32.25;50;10.50.198.123/32;10.52.77.234;TO_eNodeB_13L566;NH;Y;5
172.26.32.197;10;10.50.230.73/32;10.52.73.34;TO_eNodeB_23L091;NH;Y;5
172.26.32.197;50;10.50.50.64/29;10.52.77.34;TO_eNodeB_23L091;NH;Y;5
172.26.32.197;50;10.50.198.73/32;10.52.77.34;TO_eNodeB_23L091;NH;Y;5
172.26.32.199;10;10.50.230.10/32;10.52.72.38;TO_eNodeB_13L303;NH;Y;5
172.26.32.199;50;10.50.48.72/29;10.52.76.38;TO_eNodeB_13L303;NH;Y;5
172.26.32.199;50;10.50.198.10/32;10.52.76.38;TO_eNodeB_13L303;NH;Y;5
172.26.32.189;10;10.50.230.107/32;10.52.73.170;TO_eNodeB_13L077;NH;Y;5
172.26.32.202;10;10.50.230.2/32;10.52.72.6;TO_eNodeB_13L019;NH;Y;5
172.26.32.190;10;10.50.230.124/32;10.52.73.238;n/a;NH;N;5
172.26.32.189;50;10.50.51.80/29;10.52.77.170;TO_eNodeB_13L077;NH;Y;5
172.26.32.189;50;10.50.198.107/32;10.52.77.170;TO_eNodeB_13L077;NH;Y;5
172.26.32.190;50;10.50.51.216/29;10.52.77.238;n/a;NH;N;5
172.26.32.190;50;10.50.198.124/32;10.52.77.238;n/a;NH;N;5
172.26.32.202;50;10.50.48.8/29;10.52.76.6;TO_eNodeB_13L019;NH;Y;5
172.26.32.202;50;10.50.198.2/32;10.52.76.6;TO_eNodeB_13L019;NH;Y;5
172.26.32.202;1400;172.21.2.0/24;172.21.32.114;TO_TN_QUILICURA_2;NH;Y;5
172.26.32.20;10;10.50.230.49/32;10.52.72.194;TO_eNodeB_23L393;NH;Y;5
172.26.32.203;10;10.50.230.87/32;10.52.73.90;TO_eNodeB_13N154;NH;Y;5
172.26.32.203;50;10.50.50.176/29;10.52.77.90;TO_eNodeB_13N154;NH;Y;5
172.26.32.203;50;10.50.198.87/32;10.52.77.90;TO_eNodeB_13N154;NH;Y;5
172.26.32.206;10;10.50.230.35/32;10.52.72.138;TO_eNodeB_13L840;NH;Y;5
172.26.32.20;50;10.50.49.128/29;10.52.76.194;TO_eNodeB_23L393;NH;Y;5
172.26.32.20;50;10.50.198.49/32;10.52.76.194;TO_eNodeB_23L393;NH;Y;5
172.26.32.20;50;10.207.212.24/29;10.207.202.13;TO_NodeB_23W393;NH;Y;5
172.26.32.20;50;10.207.212.32/29;10.207.202.17;TO_NodeB_23X393;NH;Y;5
172.26.32.206;50;10.50.49.16/29;10.52.76.138;TO_eNodeB_13L840;NH;Y;5
172.26.32.206;50;10.50.198.35/32;10.52.76.138;TO_eNodeB_13L840;NH;Y;5
172.26.32.204;10;10.50.230.8/32;10.52.72.30;TO_eNodeB_13L305;NH;Y;5
172.26.32.204;50;10.50.48.56/29;10.52.76.30;TO_eNodeB_13L305;NH;Y;5
