172.26.32.248;50;TO_eNodeB_23L789;10.52.77.253;30;1/1/3;50;Up;Up;10.52.77.252
172.26.32.205;50;TO_eNodeB_13L173;10.52.76.21;30;1/1/6;50;Up;Up;10.52.76.20
172.26.32.213;10;TO_eNodeB_13L537;10.52.72.105;30;1/1/7;10;Up;Up;10.52.72.104
172.26.32.213;50;TO_eNodeB_13L537;10.52.76.105;30;1/1/7;50;Up;Up;10.52.76.104
172.26.32.45;10;TO_eNodeB_13L302;10.52.73.201;30;1/1/3;10;Up;Up;10.52.73.200
172.26.32.213;2000;TO_EATON_POWER;10.21.46.141;30;1/1/6;N/A;Up;Down;10.21.46.140
172.26.32.45;50;TO_BTS_2G_13_302;10.49.14.37;30;1/1/9;1200;Up;Up;10.49.14.36
172.26.32.45;50;TO_eNodeB_13L302;10.52.77.201;30;1/1/3;50;Up;Up;10.52.77.200
172.26.32.209;10;TO_eNodeB_23L066;10.52.73.189;30;1/1/7;10;Up;Up;10.52.73.188
172.26.32.45;200;TO_BTS_13_302;10.48.14.37;30;1/1/9;2100;Up;Up;10.48.14.36
172.26.32.209;50;TO_eNodeB_23L066;10.52.77.189;30;1/1/7;50;Up;Up;10.52.77.188
172.26.32.21;10;TO_eNodeB_13L494;10.52.72.89;30;1/1/7;10;Up;Up;10.52.72.88
172.26.32.21;50;TO_NodeB_13W494;10.207.202.6;30;1/1/5;1400;Up;Up;10.207.202.4
172.26.32.21;50;TO_NodeB_13X494;10.207.202.26;30;1/1/6;1401;Up;Up;10.207.202.24
172.26.32.207;10;TO_eNodeB_13N308;10.52.72.33;30;1/1/3;10;Up;Up;10.52.72.32
172.26.32.21;50;TO_eNodeB_13L494;10.52.76.89;30;1/1/7;50;Up;Up;10.52.76.88
172.26.32.42;10;TO_eNodeB_13L413;10.52.72.77;30;1/1/7;10;Up;Down;10.52.72.76
172.26.32.42;50;TO_eNodeB_13L413;10.52.76.77;30;1/1/7;50;Up;Down;10.52.76.76
172.26.32.207;50;TO_eNodeB_13N308;10.52.76.33;30;1/1/3;50;Up;Up;10.52.76.32
172.26.32.21;100;TO_NodeB_13W494;10.207.194.6;30;1/1/5;1300;Up;Up;10.207.194.4
172.26.32.21;100;TO_NodeB_13X494;10.207.194.26;30;1/1/6;1301;Up;Up;10.207.194.24
172.26.32.247;10;TO_eNodeB_33iL796;10.52.73.245;30;1/1/3;10;Up;Down;10.52.73.244
172.26.32.247;50;TO_eNodeB_33iL796;10.52.77.245;30;1/1/3;50;Up;Down;10.52.77.244
172.26.32.215;10;TO_eNodeB_13L004;10.52.72.9;30;1/1/8;10;Up;Up;10.52.72.8
172.26.32.215;50;TO_eNodeB_13L004;10.52.76.9;30;1/1/8;50;Up;Up;10.52.76.8
172.26.32.222;10;TO_eNodeB_23L165;10.52.72.189;30;1/1/7;10;Up;Up;10.52.72.188
172.26.32.222;50;TO_eNodeB_23L165;10.52.76.189;30;1/1/7;50;Up;Up;10.52.76.188
172.26.32.191;10;TO_eNodeB_23L791;10.52.73.209;30;1/1/3;10;Up;Up;10.52.73.208
172.26.32.191;50;TO_eNodeB_23L791;10.52.77.209;30;1/1/3;50;Up;Up;10.52.77.208
172.26.32.208;10;TO_eNodeB_13K314;10.52.72.45;30;1/1/3;10;Up;Up;10.52.72.44
172.26.32.208;50;TO_BTS_13_314;10.49.14.5;30;1/1/11;1200;Up;Up;10.49.14.4
172.26.32.208;50;TO_eNodeB_13K314;10.52.76.45;30;1/1/3;50;Up;Up;10.52.76.44
172.26.32.220;10;TO_eNodeB_23L357;10.52.73.65;30;1/1/7;10;Up;Up;10.52.73.64
172.26.32.208;200;TO_BTS_13_314;10.48.14.5;30;1/1/11;2100;Up;Up;10.48.14.4
172.26.32.210;10;TO_eNodeB_13L307;10.52.72.41;30;1/1/7;10;Up;Up;10.52.72.40
172.26.32.220;50;TO_eNodeB_23L357;10.52.77.65;30;1/1/7;50;Up;Up;10.52.77.64
172.26.32.210;50;TO_eNodeB_13L307;10.52.76.41;30;1/1/7;50;Up;Up;10.52.76.40
172.26.32.208;1400;TO_TN_ERICSSON_PANAM_NORTE;172.21.33.121;30;1/1/12;55;Up;Up;172.21.33.120
172.26.32.227;10;TO_eNodeB_13L423;10.52.72.81;30;1/1/7;10;Up;Up;10.52.72.80
172.26.32.22;10;TO_eNodeB_13K325;10.52.72.61;30;1/1/7;10;Up;Up;10.52.72.60
172.26.32.227;50;TO_eNodeB_13L423;10.52.76.81;30;1/1/7;50;Up;Up;10.52.76.80
172.26.32.224;10;TO_eNodeB_13L970;10.52.72.197;30;1/1/7;10;Up;Up;10.52.72.196
172.26.32.22;50;TO_eNodeB_13K325;10.52.76.61;30;1/1/7;50;Up;Up;10.52.76.60
172.26.32.224;50;TO_eNodeB_13L970;10.52.76.197;30;1/1/7;50;Up;Up;10.52.76.196
172.26.32.212;10;TO_eNodeB_13iL006;10.52.72.169;30;1/1/8;10;Up;Up;10.52.72.168
172.26.32.212;10;TO_eNodeB_33iL251;10.52.72.245;30;1/2/8;11;Up;Up;10.52.72.244
172.26.32.212;10;TO_eNodeB_33iL252;10.52.72.249;30;1/3/7;12;Up;Up;10.52.72.248
172.26.32.212;50;TO_eNodeB_13iL006;10.52.76.169;30;1/1/8;50;Up;Up;10.52.76.168
172.26.32.212;50;TO_eNodeB_33iL251;10.52.76.245;30;1/2/8;51;Up;Up;10.52.76.244
172.26.32.212;50;TO_eNodeB_33iL252;10.52.76.249;30;1/3/7;52;Up;Up;10.52.76.248
172.26.32.223;10;TO_eNodeB_13L920;10.52.72.157;30;1/1/7;10;Up;Up;10.52.72.156
172.26.32.223;50;TO_eNodeB_13L920;10.52.76.157;30;1/1/7;50;Up;Up;10.52.76.156
172.26.32.228;10;TO_eNodeB_13K828;10.52.72.217;30;1/1/7;10;Up;Up;10.52.72.216
172.26.32.228;50;TO_eNodeB_13K828;10.52.76.217;30;1/1/7;50;Up;Up;10.52.76.216
172.26.32.242;10;TO_eNodeB_13IL009;10.52.73.85;30;1/1/3;11;Up;Up;10.52.73.84
172.26.32.242;10;TO_eNodeB_33IL492;10.52.73.81;30;1/1/4;10;Up;Up;10.52.73.80
172.26.32.230;10;TO_eNodeB_23L070;10.52.72.177;30;1/1/7;10;Up;Up;10.52.72.176
172.26.32.230;50;TO_eNodeB_23L070;10.52.76.177;30;1/1/7;50;Up;Up;10.52.76.176
172.26.32.242;50;TO_eNodeB_13IL009;10.52.77.85;30;1/1/3;51;Up;Up;10.52.77.84
172.26.32.242;50;TO_eNodeB_33IL492;10.52.77.81;30;1/1/4;50;Up;Up;10.52.77.80
172.26.32.226;10;TO_eNodeB_13L919;10.52.72.153;30;1/1/7;10;Up;Up;10.52.72.152
172.26.32.231;10;TO_eNodeB_05N182;10.52.73.157;30;1/1/3;10;Up;Down;10.52.73.156
172.26.32.226;50;TO_eNodeB_13L919;10.52.76.153;30;1/1/7;50;Up;Up;10.52.76.152
172.26.32.231;50;TO_eNodeB_05N182;10.52.77.157;30;1/1/3;50;Up;Down;10.52.77.156
172.26.32.234;10;TO_eNodeB_33iL122;10.52.72.225;30;1/1/6;10;Up;Up;10.52.72.224
172.26.32.235;10;TO_eNodeB_23L346;10.52.73.1;30;1/1/7;10;Up;Up;10.52.73.0
172.26.32.240;10;TO_ENODEB_LTE_05L071;10.53.192.101;30;1/1/3;10;Up;Up;10.53.192.100
172.26.32.234;50;TO_eNodeB_33iL122;10.52.76.225;30;1/1/6;50;Up;Up;10.52.76.224
172.26.32.235;50;TO_eNodeB_23L346;10.52.77.1;30;1/1/7;50;Up;Up;10.52.77.0
172.26.41.5;10;TO_eNodeB_13L098;10.52.73.185;30;1/1/3;10;Up;Up;10.52.73.184
172.26.32.240;50;TO_ENODEB_LTE_05L071;10.53.196.101;30;1/1/3;50;Up;Up;10.53.196.100
172.26.32.23;10;TO_eNodeB_13L005;10.52.72.13;30;1/1/7;10;Up;Up;10.52.72.12
172.26.41.5;50;TO_eNodeB_13L098;10.52.77.185;30;1/1/3;50;Up;Up;10.52.77.184
172.26.32.23;50;TO_eNodeB_13L005;10.52.76.13;30;1/1/7;50;Up;Up;10.52.76.12
172.26.32.240;100;TO_NodeB_05W071;10.207.104.221;30;1/1/9;1312;Up;Up;10.207.104.220
172.26.32.240;100;TO_NodeB_05X071;10.207.104.233;30;1/1/9;1315;Up;Up;10.207.104.232
172.26.41.12;10;TO_eNodeB_13K412;10.52.73.205;30;1/1/3;10;Up;Up;10.52.73.204
172.26.41.12;50;TO_BTS_2G_13_412;10.49.14.13;30;1/1/9;1200;Up;Up;10.49.14.12
172.26.41.12;50;TO_eNodeB_13K412;10.52.77.205;30;1/1/3;50;Up;Up;10.52.77.204
172.26.32.241;10;TO_eNodeB_05L384;10.53.192.113;30;1/1/3;10;Up;Up;10.53.192.112
172.26.41.12;200;TO_BTS_13_412;10.48.14.13;30;1/1/9;2100;Up;Up;10.48.14.12
172.26.32.241;50;TO_BTS_2G_05_384;10.49.14.33;30;1/1/9;1200;Up;Up;10.49.14.32
172.26.32.241;50;TO_eNodeB_05L384;10.53.196.113;30;1/1/3;50;Up;Up;10.53.196.112
172.26.41.10;10;TO_eNodeB_23L134;10.52.72.185;30;1/1/7;10;Up;Up;10.52.72.184
172.26.32.238;10;TO_eNodeB_13K283;10.52.73.49;30;1/1/3;10;Up;Up;10.52.73.48
172.26.41.10;50;TO_eNodeB_23L134;10.52.76.185;30;1/1/7;50;Up;Up;10.52.76.184
172.26.32.238;50;TO_eNodeB_13K283;10.52.77.49;30;1/1/3;50;Up;Up;10.52.77.48
172.26.32.241;100;TO_NodeB_05W384;10.207.104.165;30;1/1/9;1303;Up;Up;10.207.104.164
172.26.32.24;10;TO_eNodeB_13L524;10.52.72.101;30;1/1/6;10;Up;Up;10.52.72.100
172.26.32.241;100;TO_NodeB_05X384;10.207.104.201;30;1/1/9;1308;Up;Up;10.207.104.200
172.26.32.24;50;TO_eNodeB_13L524;10.52.76.101;30;1/1/6;50;Up;Up;10.52.76.100
172.26.32.241;200;TO_BTS_05_384;10.48.14.33;30;1/1/9;2100;Up;Up;10.48.14.32
172.26.41.15;10;TO_eNodeB_13L300;10.52.72.25;30;1/1/6;10;Up;Up;10.52.72.24
172.26.41.16;10;TO_eNodeB_13L043;10.52.73.93;30;1/1/4;10;Up;Up;10.52.73.92
172.26.41.8;10;TO_eNodeB_23L088;10.52.72.181;30;1/1/3;10;Up;Up;10.52.72.180
172.26.41.15;50;TO_eNodeB_13L300;10.52.76.25;30;1/1/6;50;Up;Up;10.52.76.24
172.26.41.8;50;TO_eNodeB_23L088;10.52.76.181;30;1/1/3;50;Up;Up;10.52.76.180
172.26.41.16;50;TO_eNodeB_13L043;10.52.77.93;30;1/1/4;50;Up;Up;10.52.77.92
