172.26.32.207;1;172.26.32.207...;;;;3HE06797AABC0104;NS1719S7430;X-8.0.R2;1999/12/31;21:00:18
172.26.32.207;A;172.26.32.207...;;;;3HE06797AABC0104;N/A;X-8.0.R2;1999/12/31;21:00:13
172.26.32.45;1;172.26.32.45...;;;;3HE06797AABC0104;NS1716S4050;X-8.0.R2;1999/12/31;21:00:17
172.26.32.45;A;172.26.32.45...;;;;3HE06797AABC0104;N/A;X-8.0.R2;1999/12/31;21:00:11
172.26.32.190;1;172.26.32.190...;;;;3HE06797AABC0104;NS1722S4755;X-8.0.R2;1999/12/31;20:00:17
172.26.32.190;A;172.26.32.190...;;;;3HE06797AABC0104;N/A;X-8.0.R2;1999/12/31;20:00:11
172.26.32.248;1;172.26.32.248...;;;;3HE06797AABC0105;NS1801S1780;X-8.0.R2;1999/12/31;20:00:17
172.26.32.248;A;172.26.32.248...;;;;3HE06797AABC0105;N/A;X-8.0.R2;1999/12/31;20:00:11
172.26.32.208;1;172.26.32.208...;;;;3HE06797AABC0104;NS1712S3555;X-8.0.R2;1999/12/31;21:00:17
172.26.32.208;A;172.26.32.208...;;;;3HE06797AABC0104;N/A;X-8.0.R2;1999/12/31;21:00:11
172.26.32.209;1;172.26.32.209...;;;;3HE05051ABAD0104;NS1145F0317;X-7.0.R8;1999/12/31;21:00:26
172.26.32.209;A;172.26.32.209...;;;;3HE05051ABAD0104;00001011680001788725;X-7.0.R8;1999/12/31;21:00:11
172.26.32.21;1;172.26.32.21...;;;;3HE05051ABAD0104;NS1132F1374;X-7.0.R8;1999/12/31;21:00:26
172.26.32.21;A;172.26.32.21...;;;;3HE05051ABAD0104;00001011540001888781;X-7.0.R8;1999/12/31;21:00:11
172.26.32.1;1;172.26.32.1...;;;;3HE03619AAAM01;NS124768231;X-13.0.R11;2017/01/10;00:52:21
172.26.32.1;2;172.26.32.1...;;;;3HE03619AAAM01;NS12326A305;X-13.0.R11;2018/04/30;21:31:47
172.26.32.1;3;172.26.32.1...;;;;3HE03619AAAM01;NS124165176;X-13.0.R11;2017/01/10;00:52:27
172.26.32.1;4;172.26.32.1...;;;;3HE03619AAAM01;NS124165225;X-13.0.R11;2017/01/10;00:52:32
172.26.32.212;1;iom-sar;iom-sar;up;up;3HE02774AAAC0101;NS112766370;X-6.1.R3;2017/01/20;00:15:23
172.26.32.212;A;csm-1g;csm-1g;up;up/active;3HE02774AAAC0101;00001011540001949758;X-6.1.R3;2018/08/09;02:46:16
172.26.32.1;A;172.26.32.1...;;;;3HE01171AAAF02;2011052700369C389C38;X-13.0.R11;2018/08/09;04:13:47
172.26.32.212;B;csm-1g;csm-1g;up;up/standby;3HE02774AAAB0125;NS112766370;X-6.1.R3;2018/08/09;02:48:16
172.26.32.1;B;172.26.32.1...;;;;3HE01171AAAF02;NS1425F1363;X-13.0.R11;2018/08/09;04:15:46
172.26.32.214;1;172.26.32.214...;;;;3HE05051ABAD0104;NS1143F2057;X-7.0.R8;1999/12/31;21:00:25
172.26.32.214;A;172.26.32.214...;;;;3HE05051ABAD0104;00001011540001873097;X-7.0.R8;1999/12/31;21:00:11
172.26.32.210;1;172.26.32.210...;;;;3HE05051ABAD0104;NS1140F1561;X-7.0.R8;1999/12/31;21:00:26
172.26.32.210;A;172.26.32.210...;;;;3HE05051ABAD0104;00001011540001844245;X-7.0.R8;1999/12/31;21:00:11
172.26.32.215;1;iom-sar;iom-sar;up;up;3HE02774AAAC0101;NS112962398;X-6.1.R3;2017/01/31;01:58:16
172.26.32.215;A;csm-1g;csm-1g;up;up/standby;3HE02774AAAC0101;00001011540001836465;X-6.1.R3;2018/08/01;00:20:14
172.26.32.215;B;csm-1g;csm-1g;up;up/active;3HE02774AAAC0101;NS112962526;X-6.1.R3;2018/08/01;00:18:18
172.26.32.213;1;172.26.32.213...;;;;3HE05051ABAD0104;NS1141F1573;X-7.0.R8;1999/12/31;21:00:26
172.26.32.213;A;172.26.32.213...;;;;3HE05051ABAD0104;00001011680001909957;X-7.0.R8;1999/12/31;21:00:11
172.26.32.219;1;iom-sar;iom-sar;up;up;3HE02774AAAC0101;NS112766630;X-6.1.R3;2017/01/20;15:29:06
172.26.32.219;A;csm-1g;csm-1g;up;up/active;3HE02774AAAC0101;00001011540001838027;X-6.1.R3;2018/08/09;03:05:58
172.26.32.219;B;csm-1g;csm-1g;up;up/standby;3HE02774AAAC0101;NS112766630;X-6.1.R3;2018/08/09;03:07:57
172.26.32.43;1;172.26.32.43...;;;;3HE06797AABC0101;NS1626S2136;X-7.0.R3;1999/12/31;21:00:17
172.26.32.43;A;172.26.32.43...;;;;3HE06797AABC0101;N/A;X-7.0.R3;1999/12/31;21:00:11
172.26.32.42;1;172.26.32.42...;;;;3HE05051ABAE0110;NS1332F1756;X-7.0.R8;1999/12/31;21:00:26
172.26.32.42;A;172.26.32.42...;;;;3HE05051ABAE0110;SPG2013052801076;X-7.0.R8;1999/12/31;21:00:11
172.26.39.72;1;172.26.39.72...;;;;;;simulated;2017/08/25;21:39:00
172.26.39.72;A;172.26.39.72...;;;;;serial-1;simulated;2017/08/25;21:38:13
172.26.32.191;1;172.26.32.191...;;;;3HE06797AABC0104;NS1722S4741;X-8.0.R2;2017/07/13;18:04:13
172.26.32.191;A;172.26.32.191...;;;;3HE06797AABC0104;N/A;X-8.0.R2;2017/07/13;18:04:09
172.26.32.22;1;172.26.32.22...;;;;3HE05051ABAD0105;NS1145F0407;X-7.0.R8;1999/12/31;21:00:26
172.26.32.22;A;172.26.32.22...;;;;3HE05051ABAD0105;00001011540001870444;X-7.0.R8;1999/12/31;21:00:11
172.26.32.220;1;172.26.32.220...;;;;3HE05051ABAE0106;NS1227F1129;X-7.0.R8;2017/10/19;00:50:14
172.26.32.220;A;172.26.32.220...;;;;3HE05051ABAE0106;00001011680002005870;X-7.0.R8;2017/10/19;00:49:59
172.26.32.2;1;172.26.32.2...;;;;3HE03619AAAM01;NS124768114;X-13.0.R11;2017/01/27;03:17:15
172.26.32.222;1;172.26.32.222...;;;;3HE05051ABAE0105;NS1216F0391;X-7.0.R8;1999/12/31;21:00:26
172.26.32.2;2;172.26.32.2...;;;;3HE03619AAAM01;NS1249F0432;X-13.0.R11;2017/01/27;03:17:21
172.26.32.222;A;172.26.32.222...;;;;3HE05051ABAE0105;00001011680001952861;X-7.0.R8;1999/12/31;21:00:11
172.26.41.3;1;172.26.41.3...;;;;3HE01473AAAF01;NS1136F0297;X-13.0.R11;2017/02/15;12:58:22
172.26.32.2;3;172.26.32.2...;;;;3HE03619AAAM01;NS124165030;X-13.0.R11;2017/01/27;03:17:23
172.26.41.3;A;172.26.41.3...;;;;3HE04164AAAE02;5B581FB00;X-13.0.R11;2017/02/15;12:56:49
172.26.41.3;B;172.26.41.3...;;;;3HE04164AAAE02;NS1301F0462;X-13.0.R11;2017/02/15;12:57:02
172.26.32.2;4;172.26.32.2...;;;;3HE03619AAAP01;NS163163760;X-13.0.R11;2018/03/02;01:21:51
172.26.32.2;A;172.26.32.2...;;;;3HE01171AAAF02;STI1MMJ610118152315;X-13.0.R11;2018/08/09;04:00:19
172.26.32.2;B;172.26.32.2...;;;;3HE01171AAAF02;NS1425F1412;X-13.0.R11;2018/08/09;04:02:18
172.26.32.223;1;172.26.32.223...;;;;3HE05051ABAE0105;NS1216F0487;X-7.0.R8;1999/12/31;21:00:26
172.26.32.223;A;172.26.32.223...;;;;3HE05051ABAE0105;00001011680001933060;X-7.0.R8;1999/12/31;21:00:11
172.26.32.247;1;172.26.32.247...;;;;3HE06797AABC0105;NS1728S4631;X-8.0.R2;1999/12/31;21:00:17
172.26.32.247;A;172.26.32.247...;;;;3HE06797AABC0105;N/A;X-8.0.R2;1999/12/31;21:00:11
172.26.32.224;1;172.26.32.224...;;;;3HE05051ABAD0104;NS1138F0239;X-7.0.R8;1999/12/31;21:00:26
172.26.32.224;A;172.26.32.224...;;;;3HE05051ABAD0104;00001011540002083280;X-7.0.R8;1999/12/31;21:00:11
172.26.32.225;1;172.26.32.225...;;;;3HE05051ABAE0105;NS1216F1610;X-7.0.R8;1999/12/31;21:00:26
172.26.32.225;A;172.26.32.225...;;;;3HE05051ABAE0105;00001011680001933578;X-7.0.R8;1999/12/31;21:00:11
172.26.32.242;1;172.26.32.242...;;;;3HE06797AABC0102;NS1643S7029;X-7.0.R3;1999/12/31;21:00:17
172.26.32.242;A;172.26.32.242...;;;;3HE06797AABC0102;N/A;X-7.0.R3;1999/12/31;21:00:11
172.26.32.227;1;172.26.32.227...;;;;3HE05051ABAE0105;NS1217F0531;X-7.0.R8;1999/12/31;21:00:26
172.26.32.227;A;172.26.32.227...;;;;3HE05051ABAE0105;00001011540002083288;X-7.0.R8;1999/12/31;21:00:11
172.26.32.226;1;172.26.32.226...;;;;3HE05051ABAE0105;NS1217F1266;X-7.0.R8;1999/12/31;21:00:25
172.26.41.4;1;172.26.41.4...;;;;3HE01473AAAF01;NS1135F1283;X-13.0.R11;2017/12/30;00:54:30
