172.26.32.213;SARM_MALL_P_NORTE_CSR_CORP_13537;7705SAR-M;B-7.0.R9;10.1.1.1/24;10;06:25:37.42;1.05%;200.250.400;SAM
172.26.32.219;SAR8_PLAZA_NORTE_CORP_13537;7705SAR-8;B-6.2.R7;10.1.1.1/24;73;17:41:36.12;62.95%;147.742.064;SAM
172.26.32.43;SARA_HERMANOS_CARRERA_CSR_23788;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;283;18:05:04.86;9.10%;213.218.208;SAM
172.26.41.3;SR7_DATACENTER_LIRAY_MR_A;7750SR-7;C-13.0.R11;10.1.1.1/24;47;20:12:38.34;94.96%;3.074.424.832;SAM
172.26.32.42;SARM_ACC_NORORIENTE1_CSR_13413;7705SAR-M;B-7.0.R9;10.1.1.1/24;61;19:31:15.92;15.21%;198.153.184;SAM
172.26.39.72;CPAA1;7701CPAA-Rev2;B-9.0.R8;172.18.65.5/29;353;12:35:07.79;96.90%;1.898.971.136;SAM
172.26.32.191;SARA_MAQ_LINCOYAN_CSR_23791;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;396;16:33:08.63;9.64%;201.421.152;SAM
172.26.32.22;SARM_C_LO_ECHEVERS_CSR_R5_13325;7705SAR-M;B-7.0.R9;10.1.1.1/24;207;17:29:54.50;35.73%;196.318.128;SAM
172.26.32.220;SARM_HOTEL_HILTON_CSR_23357;7705SAR-M;B-7.0.R9;10.1.1.1/24;299;10:58:11.45;3.70%;196.318.128;SAM
172.26.32.2;SR7_CONCERT_HR_B_13006;7750SR-7;C-13.0.R11;10.1.1.1/24;67;05:46:52.20;9.30%;1.066.401.792;SAM
172.26.32.222;SARM_ACCESO_NORIENTE_CSR_23165;7705SAR-M;B-7.0.R9;10.1.1.1/24;62;19:07:38.48;5.96%;197.104.560;SAM
172.26.32.223;SARM_CERRO_TIL_TIL_CSR_13920;7705SAR-M;B-7.0.R9;10.1.1.1/24;10;02:37:55.37;8.73%;197.628.896;SAM
172.26.32.247;SARA_NOVOFARMA_CSR_33i796;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;39;15:40:44.53;62.68%;205.615.648;SAM
172.26.32.224;SARM_LOMAS_AGUIRRE_CSR_13970;7705SAR-M;B-7.0.R9;10.1.1.1/24;6;14:05:28.83;10.78%;195.269.504;SAM
172.26.41.4;SR7_DATACENTER_LIRAY_MR_B;7750SR-7;C-13.0.R11;10.1.1.1/24;47;20:03:49.05;91.05%;3.074.424.832;SAM
172.26.32.225;SARM_ANWO_CSR_CORP_23604;7705SAR-M;B-7.0.R8;10.1.1.1/24;34;00:59:02.80;16.80%;211.837.824;SAM
172.26.32.226;SARM_BATUCO_2_CSR_RCORP_13919;7705SAR-M;B-7.0.R9;10.1.1.1/24;135;13:29:15.85;16.77%;193.696.592;SAM
172.26.32.242;SARA_MALL_PLAZA_NORTE_13I009;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;10;06:25:47.79;56.00%;206.402.080;SAM
172.26.32.227;SARM_AGUAS_CHACABUCO_CSR_13423;7705SAR-M;B-7.0.R9;10.1.1.1/24;40;21:09:54.02;18.19%;197.366.752;SAM
172.26.32.44;SARA_LASERDISC_CSR_33i641;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;26;01:44:47.19;17.83%;204.304.832;SAM
172.26.32.228;SARM_ESTACION_COLINA_CSR_13828;7705SAR-M;B-7.0.R9;10.1.1.1/24;63;00:59:05.15;31.12%;195.269.504;SAM
172.26.32.23;SARM_VOLCAN_LASCAR_CSR_R5_13005;7705SAR-M;B-7.0.R9;10.1.1.1/24;4;18:23:43.56;46.34%;198.939.712;SAM
172.26.41.16;SARA_COLINA_CSR_13043;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;312;11:29:41.25;5.68%;203.518.400;SAM
172.26.32.230;SARM_COLINA_ORIENTE_2_23070;7705SAR-M;B-7.0.R9;10.1.1.1/24;22;16:59:03.16;5.02%;196.318.128;SAM
172.26.41.7;SARM_COLINA_SUR_CSR_R27_13309;7705SAR-M;B-7.0.R9;10.1.1.1/24;40;09:22:03.56;17.64%;196.318.128;SAM
172.26.32.234;SARM_DATA_CENTER_LI_CSR_33i122;7705SAR-M;B-7.0.R9;10.1.1.1/24;312;11:30:02.41;13.60%;191.074.976;SAM
172.26.32.235;SARM_C_G_MAPOCHO_CSR_23346;7705SAR-M;B-7.0.R9;10.1.1.1/24;276;18:13:26.17;27.07%;196.318.128;SAM
172.26.41.5;SARA_COLINA_CENTRO_R26_13098;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;9;15:21:32.21;45.62%;205.615.648;SAM
172.26.32.237;SARM_OF_ARAUCO_QUIL_CSR_33i352;7705SAR-M;B-7.0.R9;10.1.1.1/24;2;22:40:31.13;22.50%;206.280.080;SAM
172.26.32.238;SARA_CRUCE_L_PNTO_CSR_R19_13283;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;150;13:45:41.84;25.73%;201.421.152;SAM
172.26.32.24;SARM_COLORADO_CSR_R5_13524;7705SAR-M;B-7.0.R9;10.1.1.1/24;312;10:57:57.17;9.52%;196.318.128;SAM
172.26.34.115;SARA_GUANACO_CSR_13001;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;140;18:59:46.95;47.68%;199.061.712;SAM
172.26.41.12;SARA_COLINA_NORTE_CSR_R28_13412;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;155;15:43:31.96;8.57%;203.518.400;SAM
172.26.32.240;SARA_SN_ANTONIO_2_CSR_05071;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;312;11:16:52.58;38.83%;201.421.152;SAM
172.26.32.241;SARA_SN_ANT_CENTENARIO_CSR_05384;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;56;17:56:34.88;9.40%;203.256.208;SAM
172.26.41.10;SARM_COLINA_CENTRO2_R26_23134;7705SAR-M;B-7.0.R9;0.0.0.0/0;127;01:54:16.40;4.39%;195.269.504;SAM
172.26.41.8;SARA_PTO_CRISTO_COLINA_R27_23088;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;31;18:19:34.57;13.48%;204.567.024;SAM
172.26.32.231;SARA_CACIQUE_QUEZADA_CSR_13152;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;9;12:47:07.98;69.24%;206.664.272;SAM
172.26.32.3;SR7_QUILICURA_MR_A_13H001;7750SR-7;C-13.0.R11;10.1.1.1/24;489;10:24:19.58;79.19%;1.246.756.864;SAM
172.26.32.26;SARM_ACCESO_CAMPINO_CSR_R5_13933;7705SAR-M;B-7.0.R9;10.1.1.1/24;230;21:34:43.27;47.78%;194.220.880;SAM
172.26.32.27;SARM_NOVICIADO_CSR_R6_13867;7705SAR-M;B-7.0.R9;10.1.1.1/24;40;18:05:01.38;41.90%;195.269.504;SAM
172.26.32.28;SARM_CYT_PUDAHUEL_R7_CSR_23611;7705SAR-M;B-7.0.R9;10.1.1.1/24;190;04:50:56.41;1.04%;203.396.400;SAM
172.26.41.11;SARA_COLINA_21MAY_CSR_R28_23247;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;9;20:58:02.08;30.65%;205.615.648;SAM
172.26.32.29;SARM_MUN_DE_HUECHU_CSR_R4_23630;7705SAR-M;B-7.0.R9;10.1.1.1/24;24;22:09:21.99;2.23%;196.580.272;SAM
172.26.41.6;SARA_COLINA_ACONCAGUA_R27_13181;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;312;11:20:03.80;3.93%;217.412.704;SAM
172.26.41.15;SARM_COLINA_ORIENTE_CSR_13300;7705SAR-M;B-7.0.R9;10.1.1.1/24;212;12:08:27.32;63.39%;195.007.312;SAM
172.26.32.31;SARM_ECONO_SN_LUIS_R7_CSR_13961;7705SAR-M;B-7.0.R9;10.1.1.1/24;76;18:31:08.36;3.87%;195.793.712;SAM
172.26.32.32;SARM_M_MATTECE_CSR_R32_33416;7705SAR-M;B-7.0.R9;10.1.1.1/24;66;23:31:05.34;4.99%;195.269.504;SAM
172.26.32.33;SARA_BODEGA_SN_FRCO_CSR_R7_23207;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;153;21:06:34.42;3.78%;204.567.024;SAM
172.26.32.4;SR7_QUILICURA_MR_B_13H001;7750SR-7;C-13.0.R11;10.1.1.1/24;489;09:22:52.69;65.20%;1.246.756.864;SAM
172.26.32.34;SARA_V_OJOS_SALADO_CSR_R30_23815;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;312;10:51:53.99;4.79%;202.469.776;SAM
172.26.34.114;SARA_CASAS_CHACAB_CSR_13444;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;6;17:36:59.71;50.93%;203.518.400;SAM
172.26.34.113;SARM_SAN_MARTIN_CSR_05081;7705SAR-M;B-7.0.R9;10.1.1.1/24;36;20:44:34.57;38.16%;196.318.128;SAM
172.26.32.35;SARA_MEGACENTRO_QUI_CSR_R7_23477;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;131;23:26:26.89;18.26%;203.518.400;SAM
172.26.32.36;SARA_SOD_FONTOVA_CSR_R1_23578;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;101;20:32:56.23;39.51%;203.518.400;SAM
172.26.34.117;SARA_RUNGE_CSR_13301;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;10;02:33:31.63;59.95%;202.469.776;SAM
