172.26.33.17;A;41C;75C
172.26.33.17;B;37C;75C
172.26.33.147;A;53C;95C
172.26.33.148;A;61C;95C
172.26.33.16;A;23C;95C
172.26.33.15;A;31C;95C
172.26.33.186;1;31C;75C
172.26.33.186;A;26C;75C
172.26.33.186;B;23C;75C
172.26.33.185;A;42C;95C
172.26.33.162;A;51C;95C
172.26.33.165;A;36C;95C
172.26.33.95;A;56C;95C
172.26.33.150;A;40C;95C
172.26.33.192;1;27C;75C
172.26.33.192;A;32C;75C
172.26.33.192;B;27C;75C
172.26.33.19;A;29C;95C
172.26.33.201;1;29C;75C
172.26.33.201;A;27C;75C
172.26.33.201;B;24C;75C
172.26.33.200;1;30C;75C
172.26.33.200;A;28C;75C
172.26.33.200;B;24C;75C
172.26.33.20;A;28C;95C
172.26.33.202;A;34C;95C
172.26.33.203;A;34C;95C
172.26.33.204;A;57C;95C
172.26.33.205;A;26C;95C
172.26.33.206;A;30C;95C
172.26.33.21;A;56C;95C
172.26.33.211;A;30C;95C
172.26.33.213;A;39C;95C
172.26.33.216;1;37C;75C
172.26.33.214;A;31C;95C
172.26.33.216;A;31C;75C
172.26.33.216;B;27C;75C
172.26.33.217;A;38C;95C
172.26.33.218;A;29C;95C
172.26.33.22;A;37C;95C
172.26.33.220;A;49C;95C
172.26.33.222;A;33C;95C
172.26.33.221;A;27C;95C
172.26.33.23;A;39C;95C
172.26.33.24;A;38C;95C
172.26.33.224;A;33C;95C
172.26.33.25;A;44C;95C
172.26.33.26;A;42C;95C
172.26.33.27;A;53C;95C
172.26.33.28;A;43C;95C
172.26.33.29;A;46C;95C
172.26.33.31;A;69C;95C
172.26.33.33;A;54C;95C
172.26.33.34;A;32C;95C
172.26.33.3;1;51C;75C
172.26.33.3;2;59C;75C
172.26.33.3;3;57C;75C
172.26.33.3;4;43C;75C
172.26.33.3;A;50C;75C
172.26.33.3;B;47C;75C
172.26.33.35;A;30C;95C
172.26.33.36;A;50C;95C
172.26.33.38;A;32C;95C
172.26.33.4;1;59C;75C
172.26.33.4;2;65C;75C
172.26.33.4;3;61C;75C
172.26.33.4;4;47C;75C
172.26.33.4;A;57C;75C
172.26.33.4;B;55C;75C
172.26.33.2;1;38C;75C
172.26.33.2;2;39C;75C
172.26.33.2;3;38C;75C
172.26.33.2;4;37C;75C
172.26.33.2;5;37C;75C
172.26.33.2;A;38C;75C
172.26.33.2;B;39C;75C
172.26.33.166;A;48C;95C
172.26.33.41;A;37C;95C
172.26.33.42;A;32C;95C
172.26.33.156;A;67C;95C
172.26.33.100;A;41C;95C
172.26.33.43;A;28C;95C
172.26.33.44;A;48C;95C
172.26.33.146;A;45C;95C
172.26.33.46;A;29C;95C
172.26.33.47;A;26C;95C
172.26.33.155;A;63C;95C
172.26.33.48;A;31C;95C
172.26.33.49;A;33C;95C
172.26.33.50;A;31C;95C
172.26.33.172;A;46C;95C
172.26.33.51;A;31C;95C
172.26.33.157;A;62C;95C
172.26.33.53;A;30C;95C
172.26.33.52;A;50C;95C
172.26.33.54;A;44C;95C
172.26.33.55;A;37C;95C
172.26.33.57;A;36C;95C
172.26.33.59;A;41C;95C
172.26.33.6;A;32C;95C
172.26.33.62;A;49C;95C
172.26.33.60;A;34C;95C
172.26.33.65;A;49C;95C
172.26.33.67;A;33C;95C
172.26.33.167;A;52C;95C
172.26.33.69;A;45C;95C
172.26.33.70;A;44C;95C
172.26.33.71;A;50C;95C
172.26.33.72;A;38C;95C
172.26.33.73;A;43C;95C
172.26.33.76;A;30C;95C
172.26.33.77;A;29C;95C
172.26.33.152;A;55C;95C
172.26.33.79;A;40C;95C
172.26.33.8;A;36C;95C
172.26.33.80;A;36C;95C
172.26.33.82;A;43C;95C
172.26.33.83;A;42C;95C
172.26.33.84;A;35C;95C
172.26.33.85;A;39C;95C
172.26.33.86;A;34C;95C
172.26.33.87;A;38C;95C
172.26.33.88;A;60C;95C
172.26.33.89;A;42C;95C
172.26.33.9;A;44C;95C
172.26.33.90;A;38C;95C
172.26.33.91;A;42C;95C
172.26.33.160;A;57C;95C
172.26.33.94;A;34C;95C
172.26.33.98;A;35C;95C
172.26.34.100;A;45C;95C
172.26.34.101;A;84C;95C
172.26.34.11;A;30C;95C
172.26.34.12;A;31C;95C
172.26.34.13;A;32C;95C
172.26.34.14;A;31C;95C
172.26.34.15;A;41C;95C
172.26.34.16;A;40C;95C
172.26.34.17;A;55C;95C
172.26.34.173;A;35C;95C
172.26.34.174;A;63C;95C
172.26.34.176;A;57C;95C
172.26.34.178;A;36C;95C
172.26.34.179;A;47C;95C
172.26.34.89;A;48C;95C
172.26.34.181;A;46C;95C
172.26.34.184;1;33C;75C
172.26.34.184;A;35C;75C
172.26.34.184;B;32C;75C
172.26.34.18;A;30C;95C
172.26.34.182;A;31C;95C
172.26.34.183;A;37C;95C
172.26.34.185;A;34C;95C
172.26.34.186;A;48C;95C
172.26.34.187;A;34C;95C
172.26.34.188;A;36C;95C
172.26.34.189;A;35C;95C
172.26.34.19;A;39C;95C
172.26.34.109;A;34C;95C
172.26.34.190;A;37C;95C
172.26.34.191;A;28C;95C
172.26.34.110;A;55C;95C
172.26.34.193;A;42C;95C
172.26.34.194;A;36C;95C
172.26.34.196;A;35C;95C
172.26.34.197;A;47C;95C
172.26.34.198;A;35C;95C
172.26.34.199;A;36C;95C
172.26.34.201;1;36C;75C
172.26.34.201;A;33C;75C
172.26.34.201;B;30C;75C
172.26.34.1;1;39C;75C
172.26.34.1;2;40C;75C
172.26.34.1;3;41C;75C
172.26.34.205;1;32C;75C
172.26.34.1;4;40C;75C
172.26.34.205;A;36C;75C
172.26.34.205;B;30C;75C
172.26.34.1;A;38C;75C
172.26.34.1;B;40C;75C
172.26.34.20;A;39C;95C
172.26.34.200;1;38C;75C
172.26.34.200;A;33C;75C
172.26.34.200;B;30C;75C
172.26.34.202;A;39C;95C
172.26.34.207;1;39C;75C
172.26.34.207;A;37C;75C
172.26.34.207;B;32C;75C
172.26.34.206;A;31C;95C
172.26.34.208;A;41C;95C
172.26.34.209;A;31C;95C
172.26.34.21;A;46C;95C
172.26.34.219;1;32C;75C
172.26.34.219;A;34C;75C
172.26.34.219;B;29C;75C
172.26.34.210;A;31C;95C
172.26.34.118;A;50C;95C
172.26.34.108;A;57C;95C
172.26.34.211;A;37C;95C
172.26.34.172;A;51C;95C
172.26.34.212;A;34C;95C
172.26.34.220;1;32C;85C
172.26.34.220;A;35C;85C
172.26.34.213;A;43C;95C
172.26.34.107;A;59C;95C
172.26.34.22;A;41C;95C
172.26.34.221;1;35C;75C
172.26.34.221;A;31C;75C
172.26.34.221;B;27C;75C
172.26.34.223;A;34C;95C
172.26.34.224;A;37C;95C
172.26.34.225;A;31C;95C
172.26.34.226;A;60C;95C
172.26.34.230;1;32C;75C
172.26.34.230;A;37C;75C
172.26.34.230;B;32C;75C
172.26.34.227;A;64C;95C
172.26.34.222;A;56C;95C
172.26.34.228;A;33C;95C
172.26.34.229;A;45C;95C
172.26.34.23;A;38C;95C
172.26.34.234;1;35C;75C
172.26.34.234;A;37C;75C
172.26.34.234;B;32C;75C
