172.26.41.9;8000;00:23:ea:58:2c:bb;sdp;5439;8000
172.26.41.9;8000;00:23:ea:58:64:bb;sdp;5838;8000
172.26.32.1;8000;00:23:ea:58:64:bb;sdp;10001;8000
172.26.32.1;130024001;00:00:01:30:02:04;sdp;16478;130024001
172.26.32.1;130024001;00:00:01:30:02:05;sdp;16480;130024001
172.26.32.1;130024001;00:00:5e:00:01:03;sdp;16478;130024001
172.26.32.1;130024001;00:0f:bb:6f:2b:f0;sdp;427;236111001
172.26.32.1;130024001;00:40:43:6e:a3:b4;sdp;12242;233461001
172.26.32.1;130024001;00:40:43:9c:5c:63;sdp;15105;130061003
172.26.32.1;130024001;20:78:52:13:9d:cd;sdp;424;135661001
172.26.32.1;130024001;60:a8:fe:cf:48:e2;sdp;16316;135991003
172.26.32.1;130024001;60:a8:fe:cf:e9:b7;sdp;10304;138271003
172.26.32.1;130024001;60:a8:fe:d0:db:ec;sdp;16330;138941003
172.26.32.1;130024001;d6:ef:cd:75:6b:f6;sdp;406;134721001
172.26.32.1;130024001;d8:ef:cd:3a:19:54;sdp;16468;136261003
172.26.32.1;130024001;d8:ef:cd:69:89:94;sdp;404;134711001
172.26.32.1;130024001;d8:ef:cd:69:8a:74;sdp;404;134711002
172.26.32.1;130024002;00:00:01:30:02:06;sdp;16478;130024002
172.26.32.1;130024002;00:00:5e:00:01:04;sdp;16478;130024002
172.26.32.1;130024002;00:0f:bb:9f:db:20;sdp;16318;133251003
172.26.32.1;130024002;00:0f:bb:a1:e8:c4;sdp;10164;138671002
172.26.32.1;130024002;00:0f:bb:b0:62:42;sdp;15105;130061004
172.26.32.1;130024002;48:ec:5b:99:1b:56;sdp;424;135661002
172.26.32.1;130024002;60:a8:fe:cf:e9:e7;sdp;16316;135991004
172.26.32.1;130024002;60:a8:fe:d0:a4:8c;sdp;16468;136261004
172.26.32.1;130024003;00:00:01:30:02:08;sdp;16478;130024003
172.26.32.1;130024003;00:00:5e:00:01:05;sdp;16478;130024003
172.26.32.1;130024003;00:0f:bb:70:c1:36;sdp;15105;130061002
172.26.32.1;130024003;00:0f:bb:74:46:f2;sdp;10522;139701003
172.26.32.1;130024003;00:0f:bb:9f:ec:d0;sdp;12478;333521001
172.26.32.1;130024003;60:a8:fe:0f:ce:51;sdp;427;236111002
172.26.32.1;130024003;60:a8:fe:70:4e:73;sdp;430;139611001
172.26.32.1;130024003;60:a8:fe:97:f1:6e;sdp;439;234771001
172.26.32.1;130024003;60:a8:fe:9e:cc:39;sdp;436;238151001
172.26.32.1;130024003;60:a8:fe:cf:a8:97;sdp;435;232071001
172.26.32.1;130024003;d6:ef:cd:de:bc:19;sdp;16500;233571002
172.26.32.1;130025500;00:00:5e:00:01:32;sap;3/1/1;2500
172.26.32.1;130025500;0c:a4:02:c9:cf:5a;sdp;13006;130025500
172.26.32.1;130025500;bc:3f:8f:c3:b3:13;sdp;13006;130025500
172.26.32.1;130025500;bc:3f:8f:c3:b4:0f;sap;3/1/1;2500
172.26.32.1;130063101;74:fe:48:00:4b:4f;sdp;13006;130063101
172.26.32.1;130063101;74:fe:48:00:5b:4f;sap;1/1/2;172
172.26.32.1;130063101;74:fe:48:00:60:4f;sap;1/1/1;172
172.26.32.1;130063101;74:fe:48:10:44:aa;sap;4/2/5;172
172.26.32.1;130063102;74:fe:48:00:4b:4f;sdp;13006;130063102
172.26.32.1;130063102;74:fe:48:00:5b:4f;sap;1/1/2;173
172.26.32.1;130063102;74:fe:48:00:5c:0f;sdp;13006;130063102
172.26.32.1;130063102;74:fe:48:10:41:aa;sdp;13006;130063102
172.26.32.1;130063103;74:fe:48:0f:8a:1e;sap;1/1/5;172
172.26.32.1;130063103;74:fe:48:0f:e1:73;sap;1/1/8;172
172.26.32.1;130063104;74:fe:48:0f:84:de;sdp;13006;130063104
172.26.32.1;130063104;74:fe:48:0f:87:5e;sdp;13006;130063104
172.26.32.1;130063104;74:fe:48:0f:8a:1e;sap;1/1/5;173
172.26.32.1;130063104;74:fe:48:0f:e1:73;sap;1/1/8;173
172.26.32.1;130063105;00:00:01:30:06:01;sdp;13006;130063105
172.26.32.1;130063105;00:40:43:67:72:8f;sap;1/1/3;2140
172.26.32.1;130063106;00:40:43:67:7b:9b;sdp;13006;130063106
172.26.32.1;130063107;00:00:01:30:06:27;sdp;13006;130063107
172.26.32.1;130063107;00:40:43:67:76:d3;sap;1/1/9;2146
172.26.32.1;130064004;60:a8:fe:d0:a5:1c;sdp;10005;130064004
172.26.32.1;130064006;00:0f:bb:8a:3d:93;sdp;10005;130064006
172.26.32.1;130064006;00:0f:bb:b0:62:e7;sdp;15610;133141003
172.26.32.1;130064006;d6:ef:cd:d9:81:76;sdp;10005;130064006
172.26.32.1;130064006;d8:ef:cd:69:65:d3;sdp;10220;130041003
