172.26.32.203;172.26.32.204;0.0.13.26;Full;TO_QUIL_PARQ_NORTE_13305_1/1/1;172.27.2.21;172.27.2.22
172.26.32.204;172.26.32.203;0.0.13.26;Full;TO_SARM_QUILIM_13154_1/1/2;172.27.2.22;172.27.2.21
172.26.32.204;172.26.32.43;0.0.13.26;Full;TO_HERMANOS_CARRERA_23788_1/1/1;172.27.2.25;172.27.2.26
172.26.32.205;172.26.32.201;0.0.13.26;Full;TO_SAR8_B_CONCEPT_1/2/7;172.27.2.33;172.27.2.34
172.26.32.205;172.26.32.43;0.0.13.26;Full;TO_HERMANOS_CARRERA_23788_1/1/2;172.27.2.30;172.27.2.29
172.26.32.206;172.26.32.200;0.0.13.26;Full;TO_SAR8_A_CONCERT_1/3/7;172.27.2.38;172.27.2.37
172.26.32.206;172.26.32.207;0.0.13.26;Full;TO_P_NOR_S_IGN_13308_1/1/1;172.27.2.41;172.27.2.42
172.26.32.45;172.26.32.226;0.0.13.26;Full;Batuco_13919;172.27.1.97;172.27.1.98
172.26.32.189;172.26.32.201;0.0.13.26;Full;TO_SAR8V2_CORP_CONCERT_B_1/1/5;172.27.1.138;172.27.1.137
172.26.32.248;172.26.32.200;0.0.13.26;Full;TO_CORP_CONCERT_A_1/1/6;172.27.1.118;172.27.1.117
172.26.32.207;172.26.32.206;0.0.13.26;Full;TO_SARM_ESTSUR_Q_13840_1/1/2;172.27.2.42;172.27.2.41
172.26.32.207;172.26.32.208;0.0.13.26;Full;TO_CRU_LAU_13314_1/1/1;172.27.2.45;172.27.2.46
172.26.32.45;172.26.32.42;0.0.13.26;Full;TO_ACC_NORORIENTE1_13413_1/1/1;172.27.2.130;172.27.2.129
172.26.32.45;172.26.32.200;0.0.13.26;Full;TO_SAR-8_A_CONCERT_CORP_1/1/8;172.27.1.94;172.27.1.93
172.26.32.190;172.26.32.191;0.0.13.26;Full;TO_MAQ_LINCOYAN_23791_1/1/2;172.27.1.126;172.27.1.125
172.26.32.190;172.26.32.201;0.0.13.26;Full;TO_CORP_CONCERT_B_1/1/6;172.27.1.133;172.27.1.134
172.26.32.248;172.26.32.191;0.0.13.26;Full;TO_MAQ_LINCOYAN_23791_1/1/1;172.27.1.121;172.27.1.122
172.26.32.208;172.26.32.209;0.0.13.26;Full;TO_QUI_AV_LAUTARO_23066_1/1/1;172.27.2.49;172.27.2.50
172.26.32.208;172.26.32.207;0.0.13.26;Full;TO_SAN_IGNACIO_13308_1/1/2;172.27.2.46;172.27.2.45
172.26.32.1;192.168.230.89;0.0.13.5;Full;TO_SAR8_SAN_ANTONIO_25001;172.16.45.2;172.16.45.3
172.26.32.1;172.26.32.2;0.0.0.0;Full;TO_CONCERT_HRB_13006_2/2/1;172.27.92.141;172.27.92.142
172.26.32.1;172.26.37.2;0.0.0.0;Full;TO_HRB_CERRILLOS_3/1/1_VLAN100;172.27.150.74;172.27.150.73
172.26.32.1;172.26.32.219;0.0.13.26;Full;TO_MALL_PLAZA_NORTE_13537_1/1/7;172.27.2.61;172.27.2.62
172.26.32.1;172.26.32.200;0.0.13.26;Full;TO_CORP_CONCERT_A_LAG-1;172.27.2.2;172.27.2.1
172.26.32.209;172.26.32.208;0.0.13.26;Full;TO_CRU_LAUTARO_13314_1/1/2;172.27.2.50;172.27.2.49
172.26.32.209;172.26.32.210;0.0.13.26;Full;TO_SARM_PAN_NORTE_13_307;172.27.2.53;172.27.2.54
172.26.32.21;172.26.32.20;0.0.13.25;Full;TO_PUNTA_MOCHA_23393_1/1/2;172.27.0.86;172.27.0.85
172.26.32.21;172.26.32.4;0.0.13.25;Full;TO_MR_B_QUILIC_13H001_1/1/4;172.27.0.93;172.27.0.94
172.26.32.1;172.26.39.72;0.0.13.25;Full;TO_CPAA1_Area_0.0.13.25;172.27.0.150;172.27.0.149
172.26.32.1;172.26.41.3;0.0.13.23;Full;TO_DATACENTER_LIRAY_MR_A_1/1/10;172.27.111.245;172.27.111.246
172.26.32.1;172.26.32.3;0.0.13.25;Full;TO_QUILICURA_MR_A_13H001_LAG-1;172.27.0.246;172.27.0.245
172.26.32.212;172.26.32.220;0.0.13.25;Full;TO_AEROPUERTO_LR_13054_1/2/8;172.27.2.74;172.27.2.73
172.26.32.212;172.26.32.4;0.0.13.25;Full;TO_QUILICURA_MRB_13H001_2/1/6;172.27.2.177;172.27.2.178
172.26.32.210;172.26.32.201;0.0.13.26;Full;TO_SAR8_B_CONCERT_1/3/7;172.27.2.57;172.27.2.58
172.26.32.210;172.26.32.209;0.0.13.26;Full;TO_QUI_AV_LAUTARO_23066_1/1/2;172.27.2.54;172.27.2.53
172.26.32.214;172.26.32.219;0.0.13.26;Full;TO_SAR8_PZA_NTE_CORP_13537_1/1/8;172.27.2.66;172.27.2.65
172.26.32.210;172.26.32.247;0.0.13.26;Full;TO_NOVOFARMA_33i796_1/1/5;172.27.0.177;172.27.0.178
172.26.32.215;172.26.32.3;0.0.13.25;Full;TO_QUILICURA_MR_A_13H001_2/1/9;172.27.2.86;172.27.2.85
172.26.32.215;172.26.32.4;0.0.13.25;Full;TO_QUILICURA_MR_B_13H001_2/1/9;172.27.2.90;172.27.2.89
172.26.32.215;172.26.32.237;0.0.13.25;Full;TO_OF_ARAUCO_QUIL_33i352_1/1/1;172.27.2.193;172.27.2.194
172.26.32.213;172.26.32.219;0.0.13.26;Full;TO_NODO_MALL_PZA_NORTE;172.27.2.102;172.27.2.101
172.26.32.219;172.26.32.1;0.0.13.26;Full;TO_CONCERT_HR_A_13006_2/1/8;172.27.2.62;172.27.2.61
172.26.32.219;172.26.32.2;0.0.13.26;Full;TO_CONCERT_HR_B_13006_2/1/8;172.27.2.106;172.27.2.105
172.26.32.219;172.26.32.213;0.0.13.26;Full;TO_MALL_PLAZA_NORTE_13537_1/1/1;172.27.2.101;172.27.2.102
172.26.32.219;172.26.32.214;0.0.13.26;Full;TO_SUC_PZA_NORTE_13i145_1/1/1;172.27.2.65;172.27.2.66
172.26.32.43;172.26.32.204;0.0.13.26;Full;TO_QUIL_PARQ_NORTE_13305_1/1/2;172.27.2.26;172.27.2.25
172.26.32.43;172.26.32.205;0.0.13.26;Full;TO_SARM_PINDLOS_13173_1/1/1;172.27.2.29;172.27.2.30
172.26.32.219;172.26.32.242;0.0.13.26;Full;TO_MALL_PLAZA_NORTE_13I009_1/1/1;172.27.2.221;172.27.2.222
172.26.32.43;172.26.32.44;0.0.13.26;Full;TO_LASERDISC_CSR_33i641_1/1/5;172.27.1.233;172.27.1.234
172.26.41.3;172.26.32.1;0.0.13.23;Full;TO_CONCERT_HR_A_13006_1/1/10;172.27.111.246;172.27.111.245
172.26.32.42;172.26.32.45;0.0.13.26;Full;TO_BATUCO_CSR_13302_1/1/2;172.27.2.129;172.27.2.130
