172.26.32.11;1/1/1;4.03;0.99
172.26.32.11;1/1/2;0.48;0.48
172.26.32.11;1/1/5;6.00;12.06
172.26.32.11;1/1/7;0.37;3.02
172.26.32.18;1/1/1;0.87;0.28
172.26.32.18;1/1/2;~0.00;0.00
172.26.32.18;1/1/3;0.27;0.83
172.26.32.14;1/1/1;7.83;3.47
172.26.32.14;1/1/2;1.80;3.85
172.26.32.14;1/1/4;0.29;3.11
172.26.32.14;1/1/5;2.60;3.60
172.26.32.10;1/1/1;12.21;2.20
172.26.32.10;1/1/2;0.97;3.84
172.26.32.10;1/1/4;0.00;0.00
172.26.32.10;1/1/5;6.34;25.09
172.26.32.10;1/1/7;0.44;3.32
172.26.32.12;1/1/1;0.46;0.46
172.26.32.12;1/1/2;5.20;1.44
172.26.32.12;1/1/5;3.09;4.16
172.26.32.12;1/1/6;2.20;6.94
172.26.32.12;1/1/7;0.33;2.20
172.26.32.16;1/1/1;3.86;2.81
172.26.32.16;1/1/2;5.32;~0.00
172.26.32.16;1/1/5;9.11;20.29
172.26.32.16;1/1/6;2.54;8.20
172.26.32.16;1/1/7;0.49;6.44
172.26.32.17;1/1/1;~0.00;8.69
172.26.32.17;1/1/2;8.41;1.03
172.26.32.17;1/1/5;6.74;18.56
172.26.32.17;1/1/6;0.31;0.38
172.26.32.17;1/1/7;0.20;0.93
172.26.32.13;1/1/1;1.39;3.79
172.26.32.13;1/1/2;12.49;3.39
172.26.32.13;1/1/3;0.54;1.37
172.26.32.13;1/1/5;6.48;16.36
172.26.32.13;1/1/6;0.00;0.00
172.26.32.13;1/1/7;0.30;2.56
172.26.32.25;1/1/1;1.45;0.61
172.26.32.25;1/1/3;~0.00;~0.00
172.26.32.25;1/1/9;6.18;12.74
172.26.32.197;1/1/1;~0.00;~0.00
172.26.32.197;1/1/2;7.20;1.15
172.26.32.197;1/1/5;6.97;33.78
172.26.32.197;1/1/6;0.00;~0.00
172.26.32.197;1/1/7;0.26;4.03
172.26.32.199;1/1/1;1.13;6.54
172.26.32.199;1/1/2;19.13;4.73
