172.26.32.199;200;10.48.14.49;90:3a:a0:aa:9a:5e;Oth[I];TO_BTS_13_303
172.26.32.189;10;10.52.73.169;98:b0:39:7f:9a:8d;Oth[I];TO_eNodeB_13L077
172.26.32.199;200;10.48.14.50;20:78:52:98:76:0b;Dyn[I];TO_BTS_13_303
172.26.32.189;10;10.52.73.170;d8:ef:cd:53:4e:e2;Dyn[I];TO_eNodeB_13L077
172.26.32.202;10;10.52.72.5;b0:75:4d:e3:44:69;Oth[I];TO_eNodeB_13L019
172.26.32.189;50;10.52.77.169;98:b0:39:7f:9a:8d;Oth[I];TO_eNodeB_13L077
172.26.32.202;10;10.52.72.6;d8:ef:cd:53:9c:44;Dyn[I];TO_eNodeB_13L019
172.26.32.189;50;10.52.77.170;d8:ef:cd:53:4e:e2;Dyn[I];TO_eNodeB_13L077
172.26.32.202;50;10.52.76.5;b0:75:4d:e3:44:69;Oth[I];TO_eNodeB_13L019
172.26.32.202;50;10.52.76.6;d8:ef:cd:53:9c:44;Dyn[I];TO_eNodeB_13L019
172.26.32.202;1400;172.21.32.113;7c:20:64:e7:c6:11;Oth[I];TO_TN_QUILICURA_2
172.26.32.202;1400;172.21.32.114;90:55:ae:1b:eb:77;Dyn[I];TO_TN_QUILICURA_2
172.26.32.20;10;10.52.72.193;90:3a:a0:ab:f1:b3;Oth[I];TO_eNodeB_23L393
172.26.32.202;1400;172.21.32.115;00:1e:df:a8:5c:87;Dyn[I];TO_TN_QUILICURA_2
172.26.32.20;10;10.52.72.194;d8:ef:cd:53:c0:25;Dyn[I];TO_eNodeB_23L393
172.26.32.203;10;10.52.73.89;d4:e3:3f:82:05:e9;Oth[I];TO_eNodeB_13N154
172.26.32.203;10;10.52.73.90;d8:ef:cd:0c:4e:e4;Dyn[I];TO_eNodeB_13N154
172.26.32.20;50;10.52.76.193;90:3a:a0:ab:f1:b3;Oth[I];TO_eNodeB_23L393
172.26.32.20;50;10.52.76.194;d8:ef:cd:53:c0:25;Dyn[I];TO_eNodeB_23L393
