172.26.32.10;1/1;10.55.0.36;yes;slave
172.26.32.10;2/1;10.55.0.20;no;master
172.26.32.10;3/1;10.52.80.114;no;master
172.26.32.10;5/1;10.60.45.218;no;master
172.26.32.10;6/1;10.60.45.222;no;master
172.26.32.11;1/1;10.55.0.36;yes;slave
172.26.32.11;2/1;10.55.0.20;no;master
172.26.32.11;3/1;10.52.80.130;no;master
172.26.32.11;4/1;10.60.49.70;no;master
172.26.32.12;1/1;10.55.0.36;yes;slave
172.26.32.12;3/1;10.52.80.122;no;master
172.26.32.12;4/1;10.60.48.134;no;master
172.26.32.12;5/1;10.60.48.138;no;master
172.26.32.13;1/1;10.55.0.36;yes;slave
172.26.32.13;4/1;10.52.80.66;no;master
172.26.32.14;1/1;10.55.0.36;yes;slave
172.26.32.14;2/1;10.55.0.20;no;master
172.26.32.14;3/1;10.52.80.54;no;master
172.26.32.14;4/1;10.60.55.146;no;master
172.26.32.16;1/1;10.55.0.36;yes;slave
172.26.32.16;2/1;10.55.0.20;no;master
172.26.32.16;3/1;10.52.80.118;no;master
172.26.32.16;4/1;10.60.15.70;no;master
172.26.32.16;5/1;10.60.15.74;no;master
172.26.32.17;1/1;10.55.0.36;yes;slave
172.26.32.17;2/1;10.55.0.20;no;master
172.26.32.17;3/1;10.52.80.150;no;master
172.26.32.17;4/1;10.60.16.30;no;master
172.26.32.17;5/1;10.60.16.34;no;master
172.26.32.17;6/1;10.60.64.182;no;master
172.26.32.18;1/1;10.55.0.36;yes;slave
172.26.32.18;2/1;10.55.0.20;no;master
172.26.32.18;3/1;10.52.80.210;no;master
172.26.32.18;4/1;10.60.0.98;no;master
172.26.32.197;1/1;10.55.0.36;yes;slave
172.26.32.197;2/1;10.55.0.20;no;master
172.26.32.197;3/1;10.52.81.34;no;master
172.26.32.197;4/1;10.60.19.26;no;master
172.26.32.202;1/1;10.55.0.36;yes;slave
172.26.32.202;2/1;10.55.0.20;no;master
172.26.32.202;3/1;10.52.80.6;no;master
172.26.32.202;4/1;10.60.37.26;no;master
172.26.32.202;5/1;10.60.37.30;no;master
172.26.32.200;1/1;10.55.0.36;yes;slave
172.26.32.200;2/1;10.55.0.20;no;master
172.26.32.200;4/1;10.60.5.138;no;master
172.26.32.200;5/1;10.60.12.198;no;master
172.26.32.199;1/1;10.55.0.36;yes;slave
172.26.32.199;3/1;10.52.80.38;no;master
172.26.32.199;4/1;10.60.35.250;no;master
172.26.32.199;5/1;10.60.35.246;no;master
172.26.32.199;6/1;10.60.61.38;no;master
172.26.32.25;1/1;10.55.0.36;yes;slave
172.26.32.25;2/1;10.55.0.20;no;master
172.26.32.25;3/1;10.52.81.234;no;master
172.26.32.25;4/1;10.60.42.22;no;master
172.26.32.25;5/1;10.60.42.26;no;master
172.26.32.20;1/1;10.55.0.36;yes;slave
172.26.32.20;2/1;10.55.0.20;no;master
172.26.32.20;3/1;10.52.80.194;no;master
172.26.32.20;4/1;10.60.26.186;no;master
172.26.32.203;1/1;10.55.0.36;yes;slave
172.26.32.203;2/1;10.55.0.20;no;master
172.26.32.203;3/1;10.52.81.90;no;master
172.26.32.204;1/1;10.55.0.36;yes;slave
172.26.32.204;2/1;10.55.0.20;no;master
172.26.32.204;3/1;10.52.80.30;no;master
172.26.32.205;1/1;10.55.0.36;yes;slave
172.26.32.205;2/1;10.55.0.20;no;master
