172.26.52.2;lag-1;access;dot1q;2;enabled;up;up;1/1/8 1/1/10;N/A
172.26.53.128;lag-1;network;null;2;enabled;up;up;1/1/10 2/1/10;N/A
172.26.53.128;lag-2;network;null;0;disabled;down;down;;N/A
172.26.53.128;lag-3;network;null;0;disabled;down;down;;N/A
172.26.53.129;lag-1;network;null;2;enabled;up;up;1/1/10 2/1/10;N/A
172.26.53.3;lag-1;network;null;2;enabled;up;up;1/1/7 2/1/10;N/A
172.26.53.4;lag-1;network;null;2;enabled;up;up;1/1/7 2/1/10;N/A
172.26.55.200;lag-1;network;null;2;enabled;up;up;1/1/1 1/2/7;N/A
172.26.55.200;lag-2;network;null;2;enabled;up;up;1/2/8 1/2/8;N/A
172.26.55.1;lag-1;network;null;2;enabled;up;up;1/1/7 2/1/1;N/A
172.26.55.1;lag-2;network;null;3;enabled;up;up;2/1/10 2/1/10 2/1/10;N/A
172.26.55.1;lag-3;access;dot1q;3;enabled;up;up;2/1/4 2/1/4 2/1/4;N/A
172.26.55.1;lag-4;access;dot1q;2;enabled;up;up;2/1/6 2/1/6;LINK_MOVIL_358_TO_TALCA_LAG6_LTE
172.26.55.129;lag-1;network;null;4;enabled;up;up;1/2/1 1/2/3 2/1/1 2/1/2;N/A
172.26.55.129;lag-2;network;null;2;enabled;up;up;1/2/7 1/2/7;N/A
172.26.55.128;lag-1;network;null;2;enabled;up;up;1/2/1 2/1/4;N/A
172.26.55.128;lag-2;network;null;2;enabled;up;up;1/2/7 1/2/7;N/A
172.26.55.2;lag-1;network;null;5;enabled;up;up;1/1/4 1/1/5 1/1/7 2/1/1 2/1/10;N/A
172.26.55.2;lag-2;network;null;3;enabled;up;up;2/1/9 2/1/9 2/1/9;N/A
172.26.55.2;lag-3;access;dot1q;3;enabled;up;up;2/1/4 2/1/4 2/1/4;N/A
172.26.54.2;lag-1;network;null;3;enabled;up;up;1/1/10 2/1/6 3/2/5;N/A
172.26.54.2;lag-2;access;dot1q;4;enabled;up;up;2/1/10 2/1/10 2/1/10 2/1/10;N/A
172.26.54.2;lag-3;network;null;2;enabled;up;up;2/1/9 2/1/9;N/A
172.26.54.2;lag-4;network;null;2;enabled;up;up;2/1/8 2/1/8;TO_RENGO_POP_B_06101_LAG1
172.26.54.2;lag-5;network;null;2;enabled;up;up;3/2/1 3/2/1;N/A
172.26.54.1;lag-1;network;null;3;enabled;up;up;1/1/10 2/1/6 3/2/5;N/A
172.26.54.1;lag-2;access;dot1q;4;enabled;up;up;2/1/10 2/1/10 2/1/10 2/1/10;N/A
172.26.54.1;lag-3;network;null;2;enabled;up;up;2/1/9 2/1/9;N/A
172.26.54.1;lag-4;network;null;2;enabled;up;up;2/1/5 2/1/5;N/A
172.26.54.1;lag-5;network;null;2;enabled;up;up;3/2/1 3/2/1;N/A
172.26.54.1;lag-6;access;dot1q;2;enabled;up;up;3/2/4 3/2/4;LINK_MOVIL_358_TO_CHILLAN_LAG4_LTE
172.26.55.77;lag-1;network;null;2;enabled;up;up;1/1/7 1/3/7;N/A
172.26.56.1;lag-1;access;dot1q;2;enabled;up;up;1/1/10 2/1/10;N/A
172.26.56.1;lag-2;access;dot1q;4;enabled;up;up;2/1/7 2/1/8 2/1/8 2/1/8;LINK_MOVIL_358_LAG-2_TO_PE1_OSORNO_LTE
172.26.56.2;lag-1;access;dot1q;2;enabled;up;up;1/1/10 2/1/10;N/A
172.26.58.1;lag-1;access;null;5;enabled;up;up;Description 1/1/2 1/1/4 2/1/1 2/1/2;LINK_MOVIL_350_LAG-1_TO_PE1_OSORNO_Te0/1/1/3_LTE
172.26.59.1;lag-1;access;dot1q;2;enabled;up;up;1/1/10 2/1/10;N/A
172.26.59.2;lag-1;access;dot1q;2;enabled;up;up;1/1/10 2/1/10;N/A
172.26.60.2;lag-1;access;null;0;disabled;down;down;;N/A
192.168.230.17;lag-1;network;null;2;enabled;up;up;1/6/2 1/6/6;N/A
192.168.230.89;lag-1;network;null;2;enabled;up;up;1/3/7 1/4/8;N/A
192.168.230.89;lag-2;network;null;2;enabled;up;up;1/4/7 1/4/7;N/A
192.168.233.87;lag-1;network;null;2;enabled;up;up;1/1/3 1/2/3;N/A
192.168.234.1;lag-1;network;null;2;enabled;up;up;1/1/1 1/2/1;N/A
192.168.234.1;lag-2;network;null;2;enabled;up;up;1/2/8 1/2/8;N/A
192.168.239.5;lag-1;network;null;2;disabled;up;up;2/2/10 4/2/5;TO_LOS_ANDES_MR_B_LAG1
192.168.239.5;lag-2;network;null;2;enabled;up;up;3/1/3 3/1/3;N/A
