172.26.46.2;59995001;TO_NODOS_B_VLAN_2561;13;Backup;240;172.16.190.1
172.26.50.2;40015001;TO_RNC1_SERENA;1;Backup;240;172.17.255.185
172.26.50.2;40015001;TO_NODE_B_GROUP_1_VLAN_2034;2;Backup;240;172.17.254.1
172.26.50.2;40015001;PRUEBA;3;Backup;240;140.10.10.1
172.26.50.2;40015001;TO_NODE_B_GROUP_2_VLAN_2035;4;Backup;240;172.17.253.193
172.26.50.2;40015001;TO_NODE_B_GROUP_VLAN_2036;6;Backup;240;172.17.253.129
172.26.50.2;40015001;TO_NODE_B_GROUP_VLAN_2037;7;Backup;240;172.17.253.65
172.26.50.2;40015001;TO_RNC_SERENA_INT_2;8;Backup;240;172.17.255.161
172.26.50.2;40015001;TO_RNC_SERENA_INT_3;9;Backup;240;172.17.255.177
172.26.51.130;20015001;TO_RNC1_ANTOFAGASTA;1;Backup;240;172.17.223.185
172.26.51.130;20015001;TO_NODE_B_GROUP_1_VLAN_3323;2;Backup;240;172.17.223.1
172.26.51.130;20015001;TO_NODE_B_GROUP_1_VLAN_3324;3;Backup;240;172.17.222.193
172.26.51.130;20015001;TO_VLAN_TEST_69;4;Backup;240;20.10.10.193
172.26.51.130;20015001;TO_RNC1_ANTOFAGASTA_INT_2;5;Backup;240;172.17.223.177
172.26.51.130;20015001;TO_NODOS_B_GROUP_1_VLAN_3321;6;Backup;240;172.17.223.193
172.26.51.130;20015001;TO_NODOS_B_GROUP_2_VLAN_3322;7;Backup;240;172.17.223.65
172.26.51.130;20015001;TO_RNC_RATF1_VLAN_3318;8;Backup;240;172.17.223.161
172.26.51.130;20015001;TO_NODOS_B_VLAN_3325;9;Backup;240;172.17.222.129
172.26.51.130;20015001;TO_NODOS_B_VLAN_3326;10;Backup;240;172.17.222.65
172.26.51.130;20016000;TO_FBSC_0201_VLAN_3338;1;Backup;240;172.17.223.145
172.26.51.130;20016000;TO_NODOS_2G_VLAN_3339;2;Backup;240;172.17.222.1
172.26.51.129;20015001;TO_RNC1_ANTOFAGASTA;1;Master;250;172.17.223.185
172.26.51.129;20015001;TO_NODE_B_GROUP_1_VLAN_3323;2;Master;250;172.17.223.1
172.26.51.129;20015001;TO_NODE_B_GROUP_1_VLAN_3324;3;Master;250;172.17.222.193
172.26.51.129;20015001;TO_VLAN_TEST_69;4;Master;250;20.10.10.193
172.26.51.129;20015001;TO_RNC1_ANTOFAGASTA_INT_2;5;Master;250;172.17.223.177
172.26.51.129;20015001;TO_NODOS_B_GROUP_1_VLAN_3321;6;Master;250;172.17.223.193
172.26.51.129;20015001;TO_NODOS_B_GROUP_2_VLAN_3322;7;Master;250;172.17.223.65
172.26.51.129;20015001;TO_RNC_RATF1_VLAN_3318;8;Master;250;172.17.223.161
172.26.51.129;20015001;TO_NODOS_B_VLAN_3325;9;Master;250;172.17.222.129
172.26.51.129;20015001;TO_NODOS_B_VLAN_3326;10;Master;250;172.17.222.65
172.26.51.129;20015001;TO_NODOS_B_2202_30144001;30;Init;250;172.17.176.65
172.26.51.129;20015001;TO_NODOS_B_GROUP_2203_30144002;31;Init;250;172.17.176.129
172.26.51.129;20016000;TO_FBSC_0201_VLAN_3338;1;Master;250;172.17.223.145
172.26.51.129;20016000;TO_NODOS_2G_VLAN_3339;2;Master;250;172.17.222.1
172.26.52.1;10015001;TO_RNC1_IQUIQUE;1;Master;250;172.17.159.185
172.26.52.1;10015001;TO_NODE_B_GROUP_1_VLAN_3075;2;Master;250;172.17.158.129
172.26.52.1;10015001;TO_NODE_B_GROUP_2_VLAN_3076;3;Master;250;172.17.158.65
172.26.52.1;10015001;TO_VLAN_TEST_69;4;Master;250;10.20.30.1
172.26.52.1;10015001;TO_RNC_IQUIQUE_INT_2;5;Master;250;172.17.159.161
172.26.52.1;10015001;TO_NODE_B_GROUP_VLAN_3077;6;Master;250;172.17.158.1
172.26.52.1;10015001;TO_NODE_B_GROUP_VLAN_3078;7;Master;250;172.17.157.193
172.26.52.1;10015001;TO_RNC_IQUIQUE_INT_3;8;Master;250;172.17.159.177
172.26.52.1;10016000;TO_FBSC_1001_VLAN_3070;21;Master;250;172.17.159.129
172.26.52.1;10016000;TO_NODOS_2G_VLAN_3071;22;Master;250;172.17.154.193
172.26.52.2;10015001;TO_RNC1_IQUIQUE;1;Backup;240;172.17.159.185
172.26.52.2;10015001;TO_NODE_B_GROUP_1_VLAN_3075;2;Backup;240;172.17.158.129
172.26.52.2;10015001;TO_NODE_B_GROUP_2_VLAN_3076;3;Backup;240;172.17.158.65
172.26.52.2;10015001;TO_VLAN_TEST_69;4;Backup;240;10.20.30.1
172.26.52.2;10015001;TO_RNC_IQUIQUE_INT_2;5;Backup;240;172.17.159.161
172.26.52.2;10015001;TO_NODE_B_GROUP_VLAN_3077;6;Backup;240;172.17.158.1
172.26.52.2;10015001;TO_NODE_B_GROUP_VLAN_3078;7;Backup;240;172.17.157.193
172.26.52.2;10015001;TO_RNC_IQUIQUE_INT_3;8;Backup;240;172.17.159.177
172.26.52.2;10016000;TO_FBSC_1001_VLAN_3070;21;Backup;240;172.17.159.129
172.26.52.2;10016000;TO_NODOS_2G_VLAN_3071;22;Backup;240;172.17.154.193
172.26.56.1;100045001;TO_RNC_ROSO_VLAN_2460;1;Master;250;172.22.112.1
172.26.56.1;100045001;TO_RNC_ROSO_VLAN_2461;2;Master;250;172.22.112.9
172.26.56.1;100045001;TO_RNC_ROSO_VLAN_2466;3;Master;250;172.22.112.17
172.26.56.1;100045001;TO_NODOS_B_VLAN_2462;4;Master;250;172.22.112.65
172.26.56.1;100045001;TO_NODOS_B_VLAN_2463;5;Master;250;172.22.112.129
172.26.56.1;100045001;TO_NODOS_B_VLAN_2464;6;Master;250;172.22.112.193
172.26.56.1;100045001;TO_NODOS_B_VLAN_2465;7;Master;250;172.22.177.1
172.26.56.1;100045001;TO_NODOS_B_VLAN_2467;8;Master;250;172.22.113.65
172.26.56.1;100045001;TO_NODOS_B_VLAN_2468;9;Master;250;172.22.113.129
172.26.56.1;100045001;TO_NODOS_B_VLAN_3713;10;Master;250;172.22.114.65
172.26.56.1;100046000;TO_FBSC_10004_VLAN_2477;11;Master;250;172.22.112.49
172.26.56.1;100046000;TO_NODOS_2G_VLAN_2478;12;Master;250;172.22.114.1
172.26.56.2;100045001;TO_RNC_ROSO_VLAN_2460;1;Backup;240;172.22.112.1
172.26.56.2;100045001;TO_RNC_ROSO_VLAN_2461;2;Backup;240;172.22.112.9
172.26.56.2;100045001;TO_RNC_ROSO_VLAN_2466;3;Backup;240;172.22.112.17
172.26.56.2;100045001;TO_NODOS_B_VLAN_2462;4;Backup;240;172.22.112.65
172.26.56.2;100045001;TO_NODOS_B_VLAN_2463;5;Backup;240;172.22.112.129
172.26.56.2;100045001;TO_NODOS_B_VLAN_2464;6;Backup;240;172.22.112.193
172.26.56.2;100045001;TO_NODOS_B_VLAN_2465;7;Backup;240;172.22.177.1
172.26.56.2;100045001;TO_NODOS_B_VLAN_2467;8;Backup;240;172.22.113.65
172.26.56.2;100045001;TO_NODOS_B_VLAN_2468;9;Backup;240;172.22.113.129
172.26.56.2;100045001;TO_NODOS_B_VLAN_3713;10;Backup;240;172.22.114.65
172.26.57.1;30145001;TO_RNC1_COPIAPO_INT_1;1;Master;250;172.17.176.1
172.26.57.1;30145001;TO_NODOS_B_GROUP_1;2;Master;250;172.17.176.65
172.26.57.1;30145001;TO_NODOS_B_GROUP_2;3;Master;250;172.17.176.129
172.26.57.1;30145001;TO_NODOS_B_GROUP_3;4;Master;250;172.17.176.193
172.26.57.1;30145001;TO_NODOS_B_GROUP_4;5;Master;250;172.17.177.1
172.26.57.2;30145001;TO_RNC1_COPIAPO_INT_1;1;Backup;240;172.17.176.1
172.26.57.2;30145001;TO_NODOS_B_GROUP_1;2;Init;240;172.17.176.65
172.26.57.2;30145001;TO_NODOS_B_GROUP_2;3;Init;240;172.17.176.129
172.26.57.2;30145001;TO_NODOS_B_GROUP_3;4;Backup;240;172.17.176.193
172.26.57.2;30145001;TO_NODOS_B_GROUP_4;5;Backup;240;172.17.177.1
172.26.57.1;30146000;TO_FBSC_3014_VLAN_2217;21;Master;250;172.17.176.49
172.26.57.1;30146000;TO_NODOS_2G_VLAN_2218;22;Master;250;172.17.178.1
172.26.57.2;30146000;TO_FBSC_3014_VLAN_2217;21;Backup;240;172.17.176.49
172.26.57.2;30146000;TO_NODOS_2G_VLAN_2218;22;Backup;240;172.17.178.1
172.26.56.2;100046000;TO_FBSC_10004_VLAN_2477;11;Backup;240;172.22.112.49
172.26.56.2;100046000;TO_NODOS_2G_VLAN_2478;12;Backup;240;172.22.114.1
172.26.59.1;120015001;TO_RNC1_PUNTA_ARENAS;1;Master;250;172.18.240.1
172.26.59.1;120015001;TO_NODE_B_GROUP_1_VLAN_3962;2;Master;250;172.18.240.65
172.26.59.1;120015001;TO_NODE_B_GROUP_2_VLAN_3963;3;Master;250;172.18.240.129
172.26.59.1;120015001;TO_VLAN_TEST_69;4;Master;250;120.10.10.1
172.26.59.2;120015001;TO_RNC1_PUNTA_ARENAS;1;Backup;240;172.18.240.1
172.26.59.2;120015001;TO_NODE_B_GROUP_1_VLAN_3962;2;Backup;240;172.18.240.65
172.26.59.2;120015001;TO_NODE_B_GROUP_2_VLAN_3963;3;Backup;240;172.18.240.129
